Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WDA 8514 H,BEKO,Cold,Drum,Front,322,4
WMB 651241 L,BEKO,Cold,Drum,Front,390,3
WMB 651441 L,BEKO,Cold,Drum,Front,260,4
WMB 71231 LA,BEKO,Cold,,Front,425,3
WMB 751241 LA,BEKO,Cold,Drum,Front,427,3
WMB 751441 LA,BEKO,Cold,Drum,Front,306,4
WMB 81241 LC,BEKO,Cold,Drum,Front,395,3.5
WMB 81641 LC,BEKO,Cold,Drum,Front,328,4
WMY 1048 LB1,BEKO,Dual,Drum,Front,380,4
WMY 7046 LB2,BEKO,Cold,Drum,Front,280,4
WMY 8046 LB2,BEKO,Cold,Drum,Front,320,4
WMY 8068 LB1,BEKO,Dual,Drum,Front,400,3.5
WMY 9046 LB2,BEKO,Cold,Drum,Front,360,4
WMY 9048 LB1,BEKO,Cold,,Front,350,4
