Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WAE20262AU,BOSCH,Cold,Drum,Front,239,4
WAE20262AUP,BOSCH,Cold,,Front,295,3.5
WAE22462AU,BOSCH,Cold,Drum,Front,238,4
WAE22463AU,BOSCH,Cold,Drum,Front,249,4
WAE22464AU,BOSCH,Cold,,Front,265,4
WAE24272AU,BOSCH,Cold,Drum,Front,241,4
WAE24460AU,BOSCH,Cold,Drum,Front,259,4
WAE24462AU,BOSCH,Cold,Drum,Front,259,4
WAE24463AU,BOSCH,Cold,,Front,265,4
WAK24160AU,BOSCH,Cold,,Front,264,4
WAK24220AU,BOSCH,Cold,,Front,264,4
WAP24160AU,BOSCH,Cold,,Front,250,4
WAP24261AU,BOSCH,Cold,,Front,250,4
WAS24460AU,BOSCH,Cold,Drum,Front,276,4
WAS28461AU,BOSCH,Cold,,Front,290,4
WAS28464AU,BOSCH,Cold,,Front,260,4
WAS32440AU,BOSCH,Cold,Drum,Front,328,4
WAY32540AU,BOSCH,Cold,,Front,320,4
WAY32840AU,BOSCH,Cold,,Front,320,4
WVH28441AU,BOSCH,Cold,,Front,338,3.5
