Model No,Brand,Control,Prog Name,Type,New CEC,New Star
D-CV701ACMCX,DAEWOO,Cold,Drum,Front,253,1
D-CV701AWMCX,DAEWOO,Cold,Drum,Front,253,1
D-CV701PCMCX,DAEWOO,Cold,Drum,Front,253,1
D-CV701PWMCX,DAEWOO,Cold,Drum,Front,253,1
DWC-LD1432,DAEWOO,Cold,Drum,Front,280,4
DWD-F1211,Daewoo,Cold,,Front,251,3.5
DWD-FD1452,DAEWOO,Cold,,Front,363,3
DWD-LD1431,DAEWOO,Cold,Drum,Front,280,4
DWD-M301WP,DAEWOO,Cold,Drum,Front,253,1
DWF-901,DAEWOO,Dual,Impeller,Top,593,1.5
XQG30-881D,DAEWOO,Cold,Drum,Front,253,1
XQG30-881E,DAEWOO,Cold,,Front,300,1.5
