Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EWF10831,ELECTROLUX,Cold,Drum,Front,310,3.5
EWF12821,ELECTROLUX,Cold,Drum,Front,326,4
EWF12822,ELECTROLUX,Cold,,Front,314,4
EWF12832,ELECTROLUX,Cold,,Front,306,4
EWF14012,ELECTROLUX,Cold,,Front,304,4.5
EWF14742,ELECTROLUX,Cold,,Front,287,4
EWF14811,ELECTROLUX,Cold,Drum,Front,334,3.5
EWF14822,ELECTROLUX,Cold,,Front,341,4
EWF14912,ELECTROLUX,Cold,,Front,436,3.5
EWF14922,ELECTROLUX,Cold,,Front,436,3.5
EWW12832,ELECTROLUX,Cold,,Front,306,4
EWW14912,ELECTROLUX,Cold,,Front,436,3.5
