Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GW512,FISHER & PAYKEL,Dual,Agitator,Top,472,2
GW512,FISHER & PAYKEL,Dual,Agitator,Top,440,2
GW612,FISHER & PAYKEL,Dual,Agitator,Top,554,2
GW712,FISHER & PAYKEL,Dual,Agitator,Top,645,2
GW712,FISHER & PAYKEL,Dual,Agitator,Top,581,2
IW512,FISHER & PAYKEL,Dual,Agitator,Top,474,2
IW712,FISHER & PAYKEL,Dual,Agitator,Top,284,3.5
IW812,FISHER & PAYKEL,Dual,Agitator,Top,477,3
MW512,FISHER & PAYKEL,Dual,Agitator,Top,464,2
MW512,FISHER & PAYKEL,Dual,Agitator,Top,474,2
MW512,FISHER & PAYKEL,Dual,Agitator,Top,464,2
MW513,FISHER & PAYKEL,Dual,Agitator,Top,499,1.5
MW60,FISHER & PAYKEL,Dual,Agitator,Top,505,2
MW612,FISHER & PAYKEL,Dual,Agitator,Top,509,2
MW612,FISHER & PAYKEL,Dual,Agitator,Top,562,2
MW612,FISHER & PAYKEL,Dual,Agitator,Top,562,2
MW613,FISHER & PAYKEL,Dual,Agitator,Top,562,2
WA1068G1,FISHER & PAYKEL,Dual,Agitator,Top,350,4
WA1068P1,FISHER & PAYKEL,Dual,Agitator,Top,345,4
WA55T56GW*,FISHER & PAYKEL,Dual,Agitator,Top,487,2
WA55T56M,FISHER & PAYKEL,Dual,Agitator,Top,499,1.5
WA55T56M*,FISHER & PAYKEL,Dual,Agitator,Top,464,2
WA60T56G*,FISHER & PAYKEL,Dual,Agitator,Top,480,2
WA65T60M,FISHER & PAYKEL,Dual,Agitator,Top,562,2
WA65T60M*,FISHER & PAYKEL,Dual,Agitator,Top,562,2
WA7060E1,FISHER & PAYKEL,Dual,Agitator,Top,250,4
WA7060G1,FISHER & PAYKEL,Dual,Agitator,Top,530,2
WA7060M1,FISHER & PAYKEL,Dual,Agitator,Top,580,2
WA70T60F*,FISHER & PAYKEL,Dual,Agitator,Top,327,3.5
WA70T60G*,FISHER & PAYKEL,Dual,Agitator,Top,566,2
WA8060E1,FISHER & PAYKEL,Dual,Agitator,Top,290,4
WA8060G1,FISHER & PAYKEL,Dual,Agitator,Top,580,2
WA8060P1,FISHER & PAYKEL,Dual,Agitator,Top,290,4
WA80T65F*,FISHER & PAYKEL,Dual,Agitator,Top,360,3.5
WA80T65G*,FISHER & PAYKEL,Dual,Agitator,Top,664,2
WH7560J*,FISHER & PAYKEL,Dual,,Front,285,4
WH7560P*,FISHER & PAYKEL,Dual,,Front,285,4
WH8060P*,FISHER & PAYKEL,Dual,,Front,295,4
WH8560J1,FISHER & PAYKEL,Dual,,Front,320,4
WH8560P1,FISHER & PAYKEL,Dual,,Front,320,4
WL1068P1,FISHER & PAYKEL,Dual,,Top,380,4
WL70T60,Fisher & Paykel,Dual,Agitator,Top,311,3.5
WL70T60CW1,FISHER & PAYKEL,Dual,Agitator,Top,311,3.5
WL70T60DW1,FISHER & PAYKEL,Dual,Agitator,Top,311,3.5
WL80T65,Fisher & Paykel,Dual,Agitator,Top,369,3.5
WL80T65CW1,FISHER & PAYKEL,Dual,Agitator,Top,321,3.5
WL80T65CW1,FISHER & PAYKEL,Dual,Agitator,Top,321,3.5
WL80T65DW1,FISHER & PAYKEL,Dual,Agitator,Top,321,3.5
