Model No,Brand,Control,Prog Name,Type,New CEC,New Star
XQG60-A208TE,Galanz,Dual,,Front,265,3
XQG60-A210TE,Galanz,Dual,,Front,281,3
XQG60-A508TE,Galanz,Dual,,Front,265,3
XQG60-A510TE,Galanz,Dual,,Front,281,3
XQG60-A808TE,Galanz,Dual,,Front,265,3
XQG60-A810TE,Galanz,Dual,,Front,281,3
XQG60-A812TE,Galanz,Dual,,Front,245,3.5
XQG70-A112PE,GALANZ,Dual,Drum,Front,318,3.5
XQG70-A210PE,Galanz,Dual,Drum,Front,257,4
XQG70-A210TE,Galanz,Dual,,Front,340,3
XQG70-A212PE,Galanz,Dual,Drum,Front,259,4
XQG70-A510TE,Galanz,Dual,,Front,340,3
XQG70-A810TE,Galanz,Dual,,Front,340,3
XQG70-DA112PE,GALANZ,Dual,Drum,Front,318,3.5
