Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HDS1255TVE/HWM1255DS,Haier,Dual,Drum,Front,325,2.5
HK1200TXVE/HWM1260K,Haier,Dual,Drum,Front,327,3
HWM70-1201,HAIER,Cold,Drum,Front,399,3
HWM70-1203D,HAIER,Cold,Drum,Front,410,3
HWM75-1279,Haier,Cold,,Front,334,3.5
HWM75-B12266,Haier,Cold,,Front,278,4
HWM75TLA,Haier,Dual,Agitator,Top,735,1.5
HWM75TLU,HAIER,Dual,Agitator,Top,735,1.5
HWM80-1401,HAIER,Cold,Drum,Front,473,3
HWM80-1403D,HAIER,Cold,Drum,Front,446,3
HWM85-1479,Haier,Cold,,Front,371,3.5
HWM85-1482,Haier,Cold,,Front,390,3.5
HWM85-B14266,Haier,Cold,,Front,320,4
HWMP55-918,HAIER,Dual,Impeller,Top,490,1.5
HWMP60-118*,Haier,Dual,Impeller,Top,480,2
HWMP65-918,HAIER,Dual,Impeller,Top,630,1.5
HWMP70-118*,Haier,Dual,Impeller,Top,555,2
HWMP75-918,HAIER,Dual,Impeller,Top,725,1.5
HWMP95TLU,HAIER,Dual,Impeller,Top,785,2
HWT60FVW2,Haier,Dual,Impeller,Top,480,2
HWT70FVW2,Haier,Dual,Impeller,Top,555,2
XPB60-287S,HAIER,Cold,Impeller,Top,365,2.5
XQJ50 31A,Haier,Dual,Agitator,Top,480,1.5
