Model No,Brand,Control,Prog Name,Type,New CEC,New Star
IWDC 7125 B (AUS),Indesit,Cold,,Front,544,2.5
IWDC 7125 B (AUS)1,Indesit,Cold,,Front,544,2.5
PWC 7127 S,Indesit,Cold,Drum,Front,353,3.5
PWC 7128 W,Indesit,Cold,Drum,Front,353,3.5
PWE 8147 S,Indesit,Cold,Drum,Front,490,3
PWE 8148 W,Indesit,Cold,Drum,Front,490,3
W93,INDESIT,Dual,Drum,Front,240,3.5
WD11,INDESIT,Dual,Drum,Front,327,3
WE12,INDESIT,Dual,Drum,Front,277,3.5
WI 62,INDESIT,Dual,Drum,Front,274,3
WI102,INDESIT,Dual,Drum,Front,380,3
WIL102,INDESIT,Dual,Drum,Front,380,3
WIL62,INDESIT,Dual,Drum,Front,274,3
XWA 71283 W AUS,INDESIT,Cold,,Front,256,4
XWA81283X W AUS,Indesit,Cold,,Front,306,4
