Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WD-1255RD,LG,Dual,Drum,Front,238,4.5
WD-1256RD,LG,Dual,Drum,Front,238,4.5
WD-1438RD,LG,Dual,Drum,Front,206,4.5
WD-1488RD,LG,Dual,Drum,Front,254,4.5
WD-8015C,LG,Dual,Drum,Front,235,4
WD10020D,LG,Dual,Drum,Front,319,3
WD11020D1,LG,Dual,Drum,Front,280,4
WD11022D6,LG,Dual,Drum,Front,280,4
WD11032D6,LG,Cold,,Front,280,4
WD1200D,LG,Dual,,Front,343,3.5
WD12021D6,LG,Dual,,Front,350,3.5
WD12022D6,LG,Dual,Drum,Front,300,4
WD12032D6,LG,Cold,,Front,300,4
WD12580D6,LG,Dual,,Front,385,4
WD12585FD6,LG,Dual,,Front,385,4
WD12590D6,LG,Dual,,Front,385,4
WD12595D6,LG,Dual,,Front,385,4
WD12595FD6,LG,Dual,,Front,385,4
WD13020D1,LG,Dual,Drum,Front,300,4
WD13022D6,LG,Dual,Drum,Front,300,4
WD14022D6,LG,Dual,,Front,375,3.5
WD14022RD6,LG,Dual,,Front,375,3.5
WD14023D6,LG,Cold,,Front,300,4
WD14024D6,LG,Dual,,Front,328,4
WD1402CRD6,LG,Dual,,Front,375,3.5
WD14030D6,LG,Dual,Drum,Front,340,4
WD14030FD6,LG,Dual,Drum,Front,340,4
WD14030RD6,LG,Dual,Drum,Front,340,4
WD14032D6,LG,Cold,,Front,300,4
WD14039D6,LG,Dual,Drum,Front,340,4
WD14060D6,LG,Dual,Drum,Front,430,3.5
WD14060SD6,LG,Dual,Drum,Front,430,3.5
WD14070D6,LG,Dual,,Front,323,4.5
WD14070SD6,LG,Dual,,Front,323,4.5
WD14071SD6,LG,Dual,,Front,323,4.5
WD14130D6,LG,Dual,,Front,341,4
WD14130FD6,LG,Dual,,Front,340,4
WD14130RD6,LG,Dual,,Front,340,4
WD14135D6,LG,Dual,,Front,341,4
WD14139D6,LG,Dual,,Front,341,4
WD14145SD6,LG,Dual,,Front,330,4
WF-T506,LG,Dual,Impeller,Top,546,1
WF-T556,LG,Dual,Impeller,Top,659,1
WF-T656,LG,Dual,Impeller,Top,726,1
WF-T6571,LG,Dual,Impeller,Top,655,1.5
WF-T6572,LG,Dual,Impeller,Top,539,2
WF-T857,LG,Dual,Impeller,Top,832,1.5
WF-T8582,LG,Dual,Impeller,Top,708,2
WT-H550,LG,Dual,Pulsator,Top,475,1.5
WT-H555TH,LG,Dual,Impeller,Top,654,1
WT-H650,LG,Dual,Impeller,Top,550,2
WT-H651 / WT-H6506,LG,Dual,Impeller,Top,555,2
WT-H655,LG,Dual,Impeller,Top,550,2
WT-H751 / WT-H7506,LG,Dual,Impeller,Top,640,2
WT-H755TH,LG,Dual,Impeller,Top,847,1
WT-H8006,LG,Dual,Impeller,Top,580,2.5
WT-H9506,LG,Dual,Impeller,Top,678,2.5
WT-H9556,LG,Dual,Impeller,Top,678,2.5
WT-R10686,LG,Dual,Impeller,Top,693,2.5
WT-R1076,LG,Dual,Impeller,Top,555,3
WT-R10806,LG,Dual,Impeller,Top,693,2.5
WT-R10856,LG,Dual,Impeller,Top,693,2.5
WT-R8546,LG,Dual,Impeller,Top,509,3
WTG16032VH,LG,Dual,Impeller,Top,588,3
WTG16032WH,LG,Dual,Impeller,Top,588,3
WTG7532W,LG,Dual,Impeller,Top,515,2.5
WTG8532WH,LG,Dual,Impeller,Top,482,3
WTG8532WH,LG,Dual,Impeller,Top,475,3
WTG8532WH,LG,Dual,Impeller,Top,605,2.5
WTG9532VH,LG,Dual,Impeller,Top,535,3
WTG9532VH,LG,Dual,Impeller,Top,519,3
WTG9532WH,LG,Dual,Impeller,Top,535,3
WTG9532WH,LG,Dual,Impeller,Top,519,3
