Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PW 6065 Vario,MIELE,Cold,Drum,Front,250,4
PW 6088,MIELE,Cold,,Front,395,4
W 1913,MIELE,Cold,Drum,Front,210,4.5
W 1954,MIELE,Dual,Drum,Front,199,4.5
W 5000,MIELE,Cold,Drum,Front,221,4.5
W 5741,MIELE,Dual,Drum,Front,208,4.5
W 5820,MIELE,Dual,Drum,Front,208,4.5
W 5835,MIELE,Dual,Drum,Front,216,4.5
W 5873,MIELE,Dual,Drum,Front,221,4.5
W 5903,MIELE,Dual,Drum,Front,208,4.5
W 5943,MIELE,Cold,Drum,Front,211,4.5
W 5965,MIELE,Cold,Drum,Front,221,4.5
W1712,MIELE,Cold,Drum,Front,183,4.5
WDA 110,MIELE,Cold,,Front,242,4
WDA 210 WPM,MIELE,Cold,,Front,242,4
WKB130,MIELE,Dual,,Front,230,4.5
WKF130,MIELE,Dual,,Front,231,4.5
WKF130 WPS,MIELE,Dual,,Front,231,4.5
WKG130,MIELE,Dual,,Front,230,4.5
WKH130 WPS,MIELE,Dual,,Front,231,4.5
WKR770 WPS,MIELE,Dual,,Front,231,4.5
WT 2780,MIELE,Dual,Drum,Front,200,4
