Model No,Brand,Control,Prog Name,Type,New CEC,New Star
NA-127VB3,Panasonic,Cold,,Front,330,3.5
NA-127VB3WA1 ,Panasonic,Cold,,Front,330,3.5
NA-127VB3WN1 ,Panasonic,Cold,,Front,330,3.5
NA-128VG5,Panasonic,Cold,,Front,295,4
NA-140VG3,PANASONIC,Cold,Drum,Front,310,4.5
NA-140VG4,PANASONIC,Cold,,Front,305,4.5
NA-140VS4,PANASONIC,Cold,,Front,305,4.5
NA-140VX3,PANASONIC,Cold,Drum,Front,310,4.5
NA-148VG3,PANASONIC,Cold,Drum,Front,250,4.5
NA-148VG3 WAU,PANASONIC,Cold,Drum,Front,250,4.5
NA-148VG4,PANASONIC,Cold,,Front,250,4.5
NA-148VS4,PANASONIC,Cold,,Front,250,4.5
NA-148VX3,PANASONIC,Cold,Drum,Front,250,4.5
NA-148VX3 WAU,PANASONIC,Cold,Drum,Front,250,4.5
NA-F85H3WAU,Panasonic,Dual,Impeller,Top,730,2
NA-F85H3WNZ,Panasonic,Dual,Impeller,Top,730,2
NA-F95H3WAU,Panasonic,Dual,Impeller,Top,750,2
NA-F95H3WNZ,Panasonic,Dual,Impeller,Top,750,2
NA-FS85G3WAU,Panasonic,Dual,,Top,575,2.5
NA-FS85G3WNZ,Panasonic,Dual,,Top,575,2.5
NA-FS95G3WAU,Panasonic,Dual,Impeller,Top,630,2.5
NA-FS95G3WNZ,Panasonic,Dual,Impeller,Top,630,2.5
