Model No,Brand,Control,Prog Name,Type,New CEC,New Star
B1245AV,SAMSUNG ELECTRONICS,Cold,Drum,Front,217,3.5
WA10H7200,SAMSUNG ELECTRONICS,Dual,Impeller,Top,561,3
WA10J7700GW,SAMSUNG ELECTRONICS,Dual,Impeller,Top,604,3
WA10J8700GP,SAMSUNG ELECTRONICS,Dual,Impeller,Top,604,3
WA10J8700GW,SAMSUNG ELECTRONICS,Dual,Impeller,Top,604,3
WA10J8800GP,SAMSUNG ELECTRONICS,Dual,Impeller,Top,604,3
WA406DJHDWR,SAMSUNG ELECTRONICS,Dual,Agitator,Top,500,3
WA455DRHDWR,SAMSUNG ELECTRONICS,Dual,Impeller,Top,570,3
WA456DRHDSU,SAMSUNG ELECTRONICS,Dual,Impeller,Top,570,3
WA456DRHDWR,SAMSUNG ELECTRONICS,Dual,Impeller,Top,535,3
WA5471ABP,SAMSUNG ELECTRONICS,Dual,Agitator,Top,680,2.5
WA5471ABW,SAMSUNG ELECTRONICS,Dual,Agitator,Top,680,2.5
WA55H4000SW,SAMSUNG ELECTRONICS,Dual,Impeller,Top,467,2
WA65F5S2,SAMSUNG ELECTRONICS,Dual,Impeller,Top,560,2
WA70F5G4 ,SAMSUNG ELECTRONICS,Dual,Impeller,Top,529,2
WA70F5S2,SAMSUNG ELECTRONICS,Dual,Impeller,Top,603,2
WA75F5S6,SAMSUNG ELECTRONICS,Dual,Impeller,Top,570,2
WA75G9T,SAMSUNG ELECTRONICS,Dual,Impeller,Top,777,1.5
WA80F5G4,SAMSUNG ELECTRONICS,Dual,Impeller,Top,570,2.5
WA85F7S6,SAMSUNG ELECTRONICS,Dual,Impeller,Top,670,2
WA85GWG,SAMSUNG ELECTRONICS,Dual,Impeller,Top,870,1.5
WA85GWW,SAMSUNG ELECTRONICS,Dual,Impeller,Top,870,1.5
WA90H7000GW,SAMSUNG ELECTRONICS,Dual,Impeller,Top,499,3
WD0754W8E,SAMSUNG ELECTRONICS,Cold,Drum,Front,360,3.5
WD10F7S7SRP,SAMSUNG ELECTRONICS,Dual,,Front,487,3.5
WD10F8K9ABG,SAMSUNG ELECTRONICS,Dual,,Front,380,4
WD10J8420GW,SAMSUNG ELECTRONICS,Cold,,Front,278,4.5
WD1102XVM,SAMSUNG ELECTRONICS,Dual,Drum,Front,475,3.5
WD75J5410AW,SAMSUNG ELECTRONICS,Dual,,Front,290,4
WD856UHSAWQ,SAMSUNG ELECTRONICS,Cold,,Front,380,3.5
WF0700NCF,SAMSUNG ELECTRONICS,Dual,Drum,Front,409,3
WF0702NCE,SAMSUNG ELECTRONICS,Dual,Drum,Front,409,3
WF0754W7V,SAMSUNG ELECTRONICS,Cold,Drum,Front,410,3
WF0854W8E,SAMSUNG ELECTRONICS,Cold,Drum,Front,445,3
WF1104XAC,SAMSUNG ELECTRONICS,Cold,Drum,Front,377,4
WF1104XBC,SAMSUNG ELECTRONICS,Cold,Drum,Front,377,4
WF1702XEC,SAMSUNG ELECTRONICS,Cold,,Front,338,3.5
WF1752WPC,SAMSUNG ELECTRONICS,Cold,,Front,450,3
WF1752WPC,SAMSUNG ELECTRONICS,Cold,,Front,450,3
WF1752WPW,SAMSUNG ELECTRONICS,Cold,,Front,450,3
WF1752WPW,SAMSUNG ELECTRONICS,Cold,,Front,450,3
WF1804WPC,SAMSUNG ELECTRONICS,Cold,,Front,400,3.5
WF756UMSAWQ,SAMSUNG ELECTRONICS,Cold,,Front,359,3.5
WF80F5E5UHW,SAMSUNG ELECTRONICS,Dual,,Front,307,4
WF856UHSAGD,SAMSUNG ELECTRONICS,Cold,,Front,326,4
WF856UHSAGD,SAMSUNG ELECTRONICS,Cold,,Front,326,4
WF856UHSAWQ,SAMSUNG ELECTRONICS,Cold,,Front,326,4
WF856UHSAWQ,SAMSUNG ELECTRONICS,Cold,,Front,326,4
WW10H8430EW,SAMSUNG ELECTRONICS,Dual,,Front,263,4.5
WW75H5240EW,SAMSUNG ELECTRONICS,Cold,,Front,285,4
WW75H5290EW,SAMSUNG ELECTRONICS,Cold,,Front,350,3.5
WW75H5400EW,SAMSUNG ELECTRONICS,Cold,,Front,288,4
WW80H5270EW,SAMSUNG ELECTRONICS,Cold,,Front,370,3.5
WW85H5400EW  ,SAMSUNG ELECTRONICS,Cold,,Front,325,4
WW85H7410EW ,SAMSUNG ELECTRONICS,Cold,,Front,295,4
WW85J5410IW,SAMSUNG ELECTRONICS,Cold,,Front,312,4
WW90H9600EW,SAMSUNG ELECTRONICS,Cold,,Front,253,4.5
