Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SWF10732,SIMPSON,Cold,,Front,312,3.5
SWF10761,SIMPSON,Cold,Drum,Front,320,3.5
SWF10832,SIMPSON,Cold,,Front,360,3.5
SWF12743,SIMPSON,Cold,,Front,303,3.5
SWF12843,SIMPSON,Cold,,Front,373,3.5
SWF14743,SIMPSON,Cold,,Front,347,3.5
SWF14843,SIMPSON,Cold,,Front,391,3.5
SWF85561,SIMPSON,Cold,Drum,Front,302,3
SWF85562,SIMPSON,Cold,,Front,302,3
SWT1012A,SIMPSON,Dual,Low Frofile Agitator,Top,462,3.5
SWT554,SIMPSON,Dual,Agitator,Top,461,2
SWT5541,SIMPSON,Dual,Agitator,Top,383,2.5
SWT5541B,SIMPSON,Dual,Agitator,Top,383,2.5
SWT5542,SIMPSON,Dual,Agitator,Top,461,2
SWT604,SIMPSON,Dual,Agitator,Top,453,2
SWT6042,SIMPSON,Dual,Agitator,Top,500,2
SWT6541,SIMPSON,Dual,Agitator,Top,440,2.5
SWT704,SIMPSON,Dual,Agitator,Top,643,2
SWT754,SIMPSON,Dual,Agitator,Top,643,2
SWT7542,SIMPSON,Dual,Agitator,Top,643,2
SWT801,SIMPSON,Dual,Agitator,Top,699,2
SWT8012,SIMPSON,Dual,Agitator,Top,699,2
SWT8542,SIMPSON,Dual,Agitator,Top,756,2
SWT8542A,SIMPSON,Dual,Low Profile Agitator,Top,395,3.5
SWT951,SIMPSON,Dual,Agitator,Top,830,2
SWT9511,SIMPSON,Dual,Agitator,Top,825,2
SWT954,SIMPSON,Dual,Agitator,Top,820,1.5
SWT9542,SIMPSON,Dual,Agitator,Top,820,2
