Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LSE1600,SMEG,Cold,Drum,Front,258,3
S650,SMEG,Dual,Impeller,Top,377,2.5
S750,SMEG,Dual,Impeller,Top,380,2.5
S800,SMEG,Dual,Drum,Top,419,3
S850,SMEG,Dual,Drum,Top,417,3
SAW7514,Smeg,Cold,,Front,306,4
SAW816,Smeg,Cold,,Front,328,4
SAWD612,Smeg,Cold,,Front,700,1
SAWD814,Smeg,Cold,,Front,876,1.5
SAWS1014,Smeg,Dual,,Front,380,4
SAWS8160,Smeg,Dual,,Front,400,3.5
SM650EL,SMEG,Dual,Impeller,Top,1045,1
SM650FZ,SMEG,Dual,Agitator,Top,1066,1
SWD1600,SMEG,Cold,Drum,Front,258,3
SWF1600,SMEG,Cold,Drum,Front,261,3
