Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AFN50FSP301AW01,SPEED QUEEN,Dual,,Front,649,2
AFN50FSP301AW01,SPEED QUEEN,Dual,,Front,624,1.5
AFN51FSP301AN01,SPEED QUEEN,Dual,,Front,649,2
AFN51FSP301AN01,SPEED QUEEN,Dual,,Front,624,1.5
AFNE9BSP303AN01,SPEED QUEEN,Dual,,Front,641,2.5
AFNE9BSP303AW01,SPEED QUEEN,Dual,,Front,641,2.5
ATE50FWP431AW01,SPEED QUEEN,Dual,,Front,649,2
ATE50FWP431AW01,SPEED QUEEN,Dual,,Front,624,1.5
ATEE9AWP433AW01,SPEED QUEEN,Dual,,Front,641,2.5
ATG50FWP301AW01,SPEED QUEEN,Dual,,Front,649,2
ATG50FWP301AW01,SPEED QUEEN,Dual,,Front,624,1.5
ATGE9AWP303AW01,SPEED QUEEN,Dual,,Front,641,2.5
AWN552SN301AW01,Speed Queen,Dual,Agitator,Top,1409,1
AWNA62SN301AW01,SPEED QUEEN,Dual,Agitator,Top,984,1
AWNA62SN301AW01,SPEED QUEEN,Dual,,Top,899,1
AWNA62SP301AW01,SPEED QUEEN,Dual,,Top,904,1
AWNE82SN303AW01,SPEED QUEEN,Dual,,Top,1172,1
AWNE92SN303AW01,SPEED QUEEN,Dual,,Top,1172,1
LFN50FSP301AW01,SPEED QUEEN,Dual,,Front,649,2
LFN50FSP301AW12,SPEED QUEEN,Dual,,Front,649,2
LFNE5BSP303AW01,SPEED QUEEN,Dual,,Front,641,2.5
LFNE5BSP303AW12,SPEED QUEEN,Dual,,Front,641,2.5
LTE50FSP431AW01,SPEED QUEEN,Dual,,Front,649,2
LTE50FSP431AW12,SPEED QUEEN,Dual,,Front,649,2
LTEE5ASP433AW01,SPEED QUEEN,Dual,,Front,641,2.5
LTEE5ASP433AW12,SPEED QUEEN,Dual,,Front,641,2.5
LTG50FSP301AW01,SPEED QUEEN,Dual,,Front,649,2
LTG50FSP301AW12,SPEED QUEEN,Dual,,Front,649,2
LTGE5ASP303AW01,SPEED QUEEN,Dual,,Front,641,2.5
LTGE5ASP303AW12,SPEED QUEEN,Dual,,Front,641,2.5
LWN312SP301AW01,Speed Queen,Dual,Agitator,Top,1409,1
LWNA62SP301AW01,SPEED QUEEN,Dual,Agitator,Top,1004,1
