Model No,Brand,Control,Prog Name,Type,New CEC,New Star
6AWTW5550***,WHIRLPOOL,Dual,Impeller,Top,530,2.5
6AWTW5550XW1,WHIRLPOOL,Dual,Impeller,Top,530,2.5
6AWTW5700***,WHIRLPOOL,Dual,Impeller,Top,530,2.5
6AWTW5700XW1,WHIRLPOOL,Dual,Impeller,Top,530,2.5
SPORTS65W,WHIRLPOOL,Cold,Drum,Front,370,3
SPORTS85W,WHIRLPOOL,Cold,Drum,Front,595,2.5
WFE1210CD,WHIRLPOOL,Cold,Drum,Front,435,3.5
WFE1210CD,WHIRLPOOL,Cold,Drum,Front,435,3.5
WFE1210CS,WHIRLPOOL,Cold,Drum,Front,435,3.5
WFE1210CW,WHIRLPOOL,Cold,Drum,Front,435,3.5
WFE1470DW,WHIRLPOOL,Cold,,Front,200,4.5
WFE1480DW,WHIRLPOOL,Cold,,Front,235,4.5
WFE1490C*,WHIRLPOOL,Cold,Drum,Front,432,3.5
WFE1490DW,WHIRLPOOL,Cold,,Front,255,4.5
WFS1055CE,WHIRLPOOL,Cold,Drum,Front,455,2
WFS1073CE,WHIRLPOOL,Cold,Drum,Front,525,2.5
WFS1073DD,WHIRLPOOL,Cold,Drum,Front,525,2.5
WFS1274C*,WHIRLPOOL,Dual,Drum,Front,430,3
WFS1274CB,WHIRLPOOL,Dual,Drum,Front,430,3
WFS1274CD,WHIRLPOOL,Dual,Drum,Front,430,3
WFS1274CR,WHIRLPOOL,Dual,Drum,Front,430,3
WFS1290CW,WHIRLPOOL,Cold,,Front,390,3.5
WTWE75AW1,WHIRLPOOL,Dual,Agitator,Top,620,2
WTWE85IG1,WHIRLPOOL,Dual,Impeller,Top,462,3
WTWE85IW1,WHIRLPOOL,Dual,Impeller,Top,462,3
