Model No,Brand,Control,Prog Name,Type,New CEC,New Star
185LM00013,AOC,47.013,LCD (LED),,65,4.5
185LM00015,AOC,47.013,LCD (LED),,68,4.5
185LM00017,AOC,47.013,LCD (LED),,57,5
185LM00019,AOC,47.013,LCD (LED),,59,5
190LM00014,AOC,48.193,LCD (LED),,70,5
195LM00001,AOC,49.407,LCD (LED),,51,6
195LM00001,AOC,49.607,LCD (LED),,86,3.5
195LM00002,AOC,52.289,LCD (LED),,72,4.5
195LM00003,AOC,50.805,LCD (LED),,66,5
195LM00006,AOC,49.411,LCD (LED),,66,5
195LM00007,AOC,49.407,LCD (LED),,70,4.5
195LM00008,AOC,49.403,LCD (LED),,61,5.5
200LM00010,AOC,50.779,LCD (LED),,81,4
215LM00019,AOC,54.683,LCD (LED),,101,3.5
215LM00030,AOC,54.674,LCD (LED),,84,4.5
215LM00032,AOC,54.621,LCD (LED),,90,4
215LM00036,AOC,54.621,LCD (LED),,94,4
215LM00040,AOC,54.621,LCD (LED),,87,4
215LM00041,AOC,54.687,LCD (LED),,94,4
215LM00041,AOC,54.634,LCD (LED),,75,5
215LM00052,AOC,54.687,LCD,,94,4
215LM00053,AOC,54.625,LCD (LED),,82,4.5
215LM00055,AOC,54.621,LCD (LED),,93,4
215LM00058,AOC,54.621,LCD (LED),,118,3
230LM00008,AOC,58.487,LCD (LED),,101,4
230LM00022,AOC,58.421,LCD (LED),,87,4.5
230LM00023,AOC,58.421,LCD (LED),,94,4
230LM00024,AOC,58.421,LCD (LED),,88,4.5
230LM00025,AOC,58.421,LCD (LED),,96,4
230LM00026,AOC,58.421,LCD (LED),,94,4
230LM00027,AOC,58.421,LCD (LED),,90,4.5
230LM00029,AOC,58.421,LCD (LED),,92,4.5
236LM00006,AOC,59.81,LCD (LED),,85,5
236LM00006,AOC,59.809,LCD (LED),,105,4
236LM00011,AOC,59.81,LCD (LED),,98,4
236LM00014,AOC,59.809,LCD (LED),,106,4
236LM00023,AOC,59.809,LCD (LED),,103,4
236LM00025,AOC,59.809,LCD (LED),,105,4
238LM00001,AOC,60.47,LCD (LED),,93,4.5
238LM00002,AOC,60.47,LCD (LED),,85,5
238LM00003,AOC,60.47,LCD (LED),,93,4.5
240LM00010,AOC,60.969,LCD (LED),,90,4.5
240LM00014,AOC,60.969,LCD,,170,2
250LM00001,AOC,63.516,LCD (LED),,125,3
250LM00002,AOC,63.326,LCD (LED),,115,4
270LM00004,AOC,68.599,LCD (LED),,150,3
270LM00004,AOC,68.599,LCD (LED),,101,5
270LM00005,AOC,68.599,LCD (LED),,111,4.5
270LM00007,AOC,68.599,LCD (LED),,108,4.5
270LM00009,AOC,68.467,LCD (LED),,165,2.5
270LM00013,AOC,68.599,LCD (LED),,105,4.5
280LM00002,AOC,70.847,LCD (LED),,140,3.5
280LM00003,AOC,70.854,LCD (LED),,244,1
290LM00001,AOC,73.019,LCD (LED),,128,3.5
315LM00001,AOC,80.131,LCD (LED),,150,4
315LM00002,AOC,80.131,LCD (LED),,173,3.5
320LM00001,AOC,81.274,LCD (LED),,207,3
340LM00001,AOC,86.705,LCD (LED),,260,1.5
