Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MX239H,ASUS,58.385,LCD (LED),,95,4
MX239HR,ASUS,58.385,LCD (LED),,95,4
MX279H,ASUS,68.599,LCD (LED),,117,4
MX279HR,ASUS,68.599,LCD (LED),,117,4
VE228 series,ASUS,54.683,LCD (LED),,68,5
VE247 series,ASUS,59.809,LCD (LED),,81,5
VG248,ASUS,60.969,LCD (LED),,105,4
VK248,ASUS,60.969,LCD (LED),,94,4.5
VS229***,ASUS,54.683,LCD (LED),,82,4.5
VX228 series,ASUS,54.687,LCD (LED),,85,4
VX229 series,ASUS,54.621,LCD (LED),,81,4.5
VX238 series,ASUS,58.421,LCD (LED),,87,4.5
VX239 series,ASUS,58.421,LCD (LED),,91,4.5
VX279 series,ASUS,68.593,LCD (LED),,97,5
