Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 RL2755HM,BenQ,68.568,LCD (LED),,113,4.5
 VW2235HE,BenQ,54.683,LCD (LED),,92,4
BL2211HM,BenQ,55.868,LCD (LED),,64,6
BL2211M,BenQ,55.868,LCD (LED),,64,6
BL2211PT,BenQ,55.868,LCD (LED),,64,6
BL2211TE,BenQ,55.868,LCD (LED),,64,6
BL2211TM,BenQ,55.868,LCD (LED),,64,6
BL2405,BenQ,60.969,LCD (LED),,93,4.5
BL2405H,BenQ,60.969,LCD (LED),,93,4.5
BL2405HE,BenQ,60.969,LCD (LED),,93,4.5
BL2405HM,BenQ,60.969,LCD (LED),,93,4.5
BL2405HT,BenQ,60.969,LCD (LED),,93,4.5
BL2405M,BenQ,60.969,LCD (LED),,93,4.5
BL2410,BenQ,60.969,LCD (LED),,95,4.5
BL2410PE,BenQ,60.969,LCD (LED),,95,4.5
BL2410PH,BenQ,60.969,LCD (LED),,95,4.5
BL2410PT,BenQ,60.969,LCD (LED),,95,4.5
BL2420-T,BenQ,60.448,LCD (LED),,126,3
BL2420PE,BenQ,60.448,LCD (LED),,126,3
BL2420PH,BenQ,60.448,LCD (LED),,126,3
BL2420PT,BenQ,60.448,LCD (LED),,126,3
BL2700HC,BenQ,68.568,LCD (LED),,128,4
BL2700HE,BenQ,68.568,LCD (LED),,128,4
BL2700HT,BenQ,68.568,LCD (LED),,128,4
BL902TM,BenQ,48.193,LCD (LED),,59,5.5
EW2440L,BenQ,60.969,LCD (LED),,112,3.5
EW2440LE,BenQ,60.969,LCD (LED),,112,3.5
EW2440M,BenQ,60.969,LCD (LED),,112,3.5
EW2440ZE,BenQ,60.468,LCD (LED),,101,4
EW2440ZH,BenQ,60.468,LCD (LED),,101,4
EW2740L,BenQ,68.568,LCD (LED),,141,3.5
EW2740LE,BenQ,68.568,LCD (LED),,141,3.5
EW2740M,BenQ,68.568,LCD (LED),,141,3.5
EW2750ZC,BenQ,68.568,LCD (LED),,126,4
EW2750ZE,BenQ,68.568,LCD (LED),,126,4
EW2750ZH,BenQ,68.568,LCD (LED),,126,4
EW2750ZL,BenQ,68.568,LCD (LED),,126,4
