Model No,Brand,Control,Prog Name,Type,New CEC,New Star
D2015Hf,DELL,49.607,LCD,,61,5
D2215Hc,DELL,54.687,LCD (LED),,82,4.5
E1713Sb,DELL,43.26,LCD,,59,5
E1715Sc,DELL,43.28,LCD (LED),,49,6
E1913c,DELL,48.141,LCD (LED),,53,6
E1914Hc,DELL,47.013,LCD (LED),,43,6
E1916Hf,DELL,47.013,LCD (LED),,50,6
E1916HVf,DELL,47.013,LCD (LED),,50,6
E2014Hc,DELL,49.411,LCD (LED),,49,6
E2014Hf,DELL,49.407,LCD,,57,5.5
E2014Tt,Dell,49.404,LCD,,52,6
E2015HVf,DELL,49.407,LCD,,54,5.5
E2016Hb,DELL,49.789,LCD,,40,7
E2016HVf,DELL,52.295,LCD (LED),,50,6
E2213c,DELL,55.871,LCD (LED),,69,5.5
E2213Hb,DELL,54.626,LCD (LED),,65,5.5
E2214Hb,DELL,54.626,LCD (LED),,68,5
E2215HVf,DELL,54.687,LCD,,77,4.5
E2216Hf,DELL,54.687,LCD (LED),,69,5
E2216HVf,DELL,54.687,LCD (LED),,69,5
E2313Hf,DELL,58.421,LCD,,81,5
E2314Hf,DELL,58.487,LCD,,80,5
E2316Hf,DELL,58.487,LCD (LED),,71,5.5
E2414Ht,Dell,60.939,LCD,,65,6
E2416Hb,DELL,60.89,LCD,,61,6
E2715Hf,DELL,68.599,LCD,,76,6
E5515Hc,DELL,138.783,LCD (LED),,362,4.5
P1913b,DELL,48.113,LCD (LED),,48,6
P1913Sb,DELL,48.164,LCD (LED),,50,6
P1914Sc,DELL,48.193,LCD (LED),,58,5.5
P1914Sf,DELL,48.192,LCD,,60,5.5
P2012Ht,Dell,50.818,LCD,,48,6
P2014Ht,Dell,49.402,LCD,,39,7
P2016b,DELL,49.502,LCD,,40,7
P2016t,DELL,49.403,LCD (LED),,46,6
P2212Hb,DELL,54.626,LCD (LED),,65,5.5
P2213t,Dell,55.883,LCD,,58,6
P2214Hb,DELL,54.626,LCD (LED),,76,4.5
P2312Ht,Dell,58.385,LCD,,57,6
P2314Hc,DELL,58.421,LCD (LED),,88,4.5
P2314Ht,Dell,58.385,LCD,,69,5.5
P2314Tt,Dell,58.385,LCD,,67,5.5
P2412Hb,DELL,60.939,LCD (LED),,89,4.5
P2414Hb,DELL,60.444,LCD (LED),,80,5
P2415Qb,DELL,60.444,LCD,,133,3
P2416Db,DELL,60.706,LCD,,90,4.5
P2714Hc,DELL,68.599,LCD (LED),,72,6
P2714Tt,Dell,68.593,LCD,,71,6
P2815Qf,DELL,74.663,LCD,,134,4
S2240Lc,Dell,54.625,LCD (LED),,64,5.5
S2240Tb,DELL,54.626,LCD (LED),,67,5.5
S2340Lc,Dell,58.421,LCD (LED),,74,5
S2340Tt,Dell,58.385,LCD,,81,5
S2415Hb,DELL,60.444,LCD,,62,6
S2440Lb,DELL,60.939,LCD (LED),,69,6
S2715Ht,Dell,68.599,LCD,,64,7
S2740Lb,DELL,68.593,LCD (LED),,79,6
SE2216Hf,DELL,54.625,LCD (LED),,67,5.5
SE2216HVf,DELL,54.625,LCD (LED),,67,5.5
U2312HMt,Dell,58.385,LCD,,72,5.5
U2414Hb,DELL,60.444,LCD,,63,6
U2515Hc,DELL,63.444,LCD (LED),,101,4.5
U2715Hc,DELL,68.467,LCD (LED),,142,3.5
U3415Wb,DELL,87.122,LCD,,179,3.5
UZ2215Hf,DELL,54.687,LCD,,86,4
UZ2315Hf,DELL,58.42,LCD,,89,4.5
UZ2715Hb,DELL,68.593,LCD,,73,6
