Model No,Brand,Control,Prog Name,Type,New CEC,New Star
B22T-7,FUJITSU,54.621,LCD (LED),,77,4.5
B22W-7,Fujitsu,55.883,LCD,,62,6
B23T-6,FUJITSU,58.487,LCD (LED),,84,4.5
B24T-7,FUJITSU,60.965,LCD (LED),,77,5.5
B24W-6,FUJITSU,61.132,LCD (LED),,81,5.5
B27T-7,Fujitsu,68.599,LCD,,86,5.5
DY19-7,Fujitsu,48.023,LCD,,56,5.5
DY22T-7,FUJITSU,54.621,LCD (LED),,78,4.5
DY23T-7,FUJITSU,58.421,LCD (LED),,68,5.5
DY24W-7,FUJITSU,61.132,LCD (LED),,66,6
E20T-6 LED,Fujitsu,50.818,LCD,,50,6
E24T-7 LED,Fujitsu,60.969,LCD (LED),,76,5.5
P23T-6 IPS,FUJITSU,58.421,LCD (LED),,84,4.5
P24T-7,FUJITSU,60.965,LCD (LED),,80,5
P24W-6,FUJITSU,61.132,LCD (LED),,76,5.5
P24W-7,FUJITSU,61.132,LCD (LED),,79,5.5
WP2-215META,FUJITSU,54.687,LCD (LED),,87,4
