Model No,Brand,Control,Prog Name,Type,New CEC,New Star
E221,Hewlett Packard Company,54.683,LCD (LED),,75,5
E221c,Hewlett-Packard Company,54.683,LCD (LED),,80,4.5
E240,Hewlett-Packard Company,60.468,LCD (LED),,79,5
E240e,Hewlett-Packard Company,60.468,LCD (LED),,79,5
P200,Hewlett-Packard Company,49.402,LCD,,60,5
P222va,Hewlett-Packard Company,54.683,LCD (LED),,68,5
P242va,Hewlett-Packard Company,60.969,LCD (LED),,91,4.5
V242,Hewlett-Packard Company,60.969,LCD (LED),,76,5.5
 23xw,HP,58.421,LCD (LED),,90,4.5
" 23xw, HSTND-5081-L",HP,58.421,LCD (LED),,90,4.5
19us (HSTND-5041-F),HP,47.013,LCD (LED),,47,6
20fi (HSTND-3611-N),HP,50.822,LCD (LED),,69,5
20vx (HSTND-3611-N),HP,50.822,LCD (LED),,69,5
20wd,HP,49.407,LCD,,65,5
22cw,HP,54.621,LCD (LED),,83,4.5
"22cw,HSTND-5071-L",HP,54.621,LCD (LED),,83,4.5
22dn,hp,54.683,LCD (LED),,94,4
22fi (HSTND-3621-N),HP,54.621,LCD (LED),,98,3.5
22vx (HSTND-3621-N),HP,54.621,LCD (LED),,98,3.5
22xw,HP,54.621,LCD (LED),,83,4.5
"22xw, HSTND-5071-L",HP,54.621,LCD (LED),,83,4.5
23cw,HP,58.421,LCD (LED),,90,4.5
"23cw, HSTND-5081-L",HP,58.421,LCD (LED),,90,4.5
"23fi (HSTND-3631-N), 23vx (HSTND-3631-N)",HP,58.421,LCD (LED),,89,4.5
23tm,hp,58.421,LCD (LED),,90,4.5
24cw,HP,60.47,LCD (LED),,83,5
24xw,HP,60.47,LCD (LED),,83,5
25vx (HSTND-3641-N),HP,63.444,LCD (LED),,91,5
25xi (HSTND-3641-N),HP,63.444,LCD (LED),,91,5
27c,HP,68.599,LCD (LED),,123,4
27c,HP,68.599,LCD (LED),,123,4
27c,hp,68.599,LCD (LED),,114,4.5
"27c, HSTND-6011-A",HP,68.599,LCD (LED),,123,4
