Model No,Brand,Control,Prog Name,Type,New CEC,New Star
17MB15PA,LG,43.269,LCD,,54,5.5
17MB15TO,LG,43.271,LCD,,60,5
19EN33TA,LG,47.013,LCD,,50,6
19M35DA,LG,47.013,LCD (LED),,50,6
19M37D,LG,47.013,LCD,,54,5.5
19MB15TO,LG,48.194,LCD,,70,5
19MB35PE,LG,48.194,LCD (LED),,60,5.5
20EN33TSA,LG,49.411,LCD,,70,4.5
20M35DSA,LG,49.407,LCD,,70,4.5
20M37D,LG,49.411,LCD,,55,5.5
22EA53VA,LG,54.683,LCD (LED),,80,4.5
22EB23PC,LG,55.871,LCD (LED),,70,5.5
22EN33TA,LG,54.683,LCD,,70,5
22EN43TA,LG,54.683,LCD,,70,5
22M35DA,LG,54.625,LCD (LED),,70,5
22M37D,LG,54.621,LCD,,64,5.5
22M45DA,LG,54.683,LCD (LED),,90,4
22MB35DE,LG,54.611,LCD,,79,4.5
22MB35PUH,LG,55.919,LCD,,80,5
22MB37PU,LG,54.621,LCD,,78,4.5
22MB65PE,LG,56.3,LCD (LED),,90,4.5
22MB65PYG,LG,55.871,LCD,,80,5
22MP47HQ,LG,54.621,LCD,,86,4
22MP55HA,LG,54.625,LCD,,90,4
22MP56HA,LG,54.625,LCD,,90,4
22MP57HQ,LG,54.621,LCD,,80,4.5
23CAT42KL,LG,58.422,LCD (LED),,80,5
23CAV42KL,LG,58.422,LCD (LED),,80,5
23EA53VA,LG,58.422,LCD,,80,5
23EA63VB,LG,58.422,LCD,,90,4.5
23EN43VA,LG,58.422,LCD (LED),,80,5
23ET63VB,LG,58.422,LCD (LED),,90,4.5
23M45HA,LG,59.156,LCD,,90,4.5
23M45VA,LG,58.422,LCD,,90,4.5
23M47VQ,LG,58.421,LCD,,95,4
23MB35PMF,LG,58.421,LCD,,83,4.5
23MP47HQ,LG,58.421,LCD,,84,4.5
23MP55HA,LG,58.422,LCD,,100,4
23MP57HQ,LG,58.421,LCD,,75,5
23MP65HA,LG,58.422,LCD,,90,4.5
23MP67VQ,LG,58.421,LCD,,77,5
23MP75HMB,LG,58.422,LCD,,90,4.5
24EA53VA,LG,59.81,LCD (LED),,70,5.5
24EB23PYC,LG,60.969,LCD,,80,5
24EN43VSA,LG,59.81,LCD,,70,5.5
24GM77,LG,60.969,LCD (LED),,105,4
24M45HA,LG,59.81,LCD,,80,5
24M45VA,LG,59.81,LCD,,80,5
24M47VQ,LG,59.809,LCD,,84,5
24MB35DE,LG,60.468,LCD,,93,4.5
24MB35PYI,LG,60.468,LCD,,100,4
24MB65PYG,LG,61.132,LCD (LED),,90,5
24MP47HQ,LG,60.47,LCD,,103,4
24MP55HA,LG,60.468,LCD (LED),,100,4
24MP55VA,LG,60.468,LCD,,100,4
24MP56HA,LG,60.468,LCD,,110,3.5
24MP57HQ,LG,60.47,LCD,,87,4.5
24MP57VQ,LG,60.47,LCD,,87,4.5
24MP67VQ,LG,60.47,LCD,,83,5
24MP76HMB,LG,60.468,LCD,,90,4.5
24MP77HM,LG,60.47,LCD,,85,5
25UM55D,LG,63.516,LCD,,107,3.5
25UM57,LG,63.516,LCD,,111,3.5
25UM65,LG,63.515,LCD (LED),,100,4
27EA33VA,LG,68.599,LCD,,100,5
27EA53VA,LG,68.599,LCD (LED),,90,5.5
27EA63VB,LG,68.599,LCD (LED),,100,5
27EB22PYC,LG,68.599,LCD (LED),,100,5
27EN43VA,LG,68.599,LCD (LED),,80,6
27M45HA,LG,68.599,LCD,,110,4.5
27M45VA,LG,68.599,LCD,,110,4.5
27M47VQ,LG,68.599,LCD,,102,5
27MB65PYG,LG,68.599,LCD,,120,4
27MB85R,LG,68.465,LCD (LED),,201,2
27MB85Z,LG,68.465,LCD (LED),,235,1
27MP35HA,LG,68.599,LCD,,110,4.5
27MP35VA,LG,68.599,LCD,,110,4.5
27MP37HQ,LG,68.599,LCD,,100,5
27MP37VQ,LG,68.599,LCD,,100,5
27MP55HA,LG,68.599,LCD,,110,4.5
27MP57HQ,LG,68.599,LCD,,108,4.5
27MP57VQ,LG,68.599,LCD,,108,4.5
27MP65HA,LG,68.599,LCD,,120,4
27MP67VQ,LG,68.599,LCD,,94,5
27MP75HMB,LG,68.599,LCD,,130,3.5
27MP77HM,LG,68.599,LCD,,93,5
29EA73,LG,73.021,LCD,,120,4
29EB73,LG,73.021,LCD,,120,4
29UB55D,LG,73.019,LCD,,118,4
29UB65D,LG,73.021,LCD,,130,3.5
29UB67,LG,73.019,LCD,,154,3
29UM55D,LG,73.019,LCD,,114,4
29UM57,LG,73.019,LCD,,127,3.5
29UM65D,LG,73.021,LCD,,130,3.5
29UM67,LG,73.019,LCD,,147,3
31MU97,LG,78.764,LCD (LED),,207,2.5
34UC87,LG,86.557,LCD (LED),,222,2.5
34UC87C,LG,86.557,LCD (LED),,185,3
34UC87M,LG,86.557,LCD (LED),,222,2.5
34UC97,LG,86.557,LCD (LED),,222,2.5
34UM57,LG,86.603,LCD,,167,3.5
34UM65,LG,86.603,LCD (LED),,127,5
34UM67,LG,86.603,LCD,,167,3.5
34UM95,LG,86.603,LCD (LED),,200,3
34UM95C,LG,86.705,LCD (LED),,196,3
E1910PW,LG,48.183,LCD (LED),,60,5
E2210PMW,LG,55.871,LCD (LED),,70,5.5
E2210PW,LG,55.871,LCD (LED),,70,5.5
E2211PUX,LG,55.871,LCD (LED),,80,5
E2411PUX,LG,60.969,LCD,,80,5
IPS235PX,LG,58.422,LCD (LED),,70,5.5
L1742TEU,LG,43.271,LCD,,80,3.5
