Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 203V5L,PHILIPS,49.407,LCD (LED),,73,4.5
 272P4A,PHILIPS,68.46,LCD (LED),,215,1.5
17S4,PHILIPS,43.275,LCD (LED),,74,4
17S4L,PHILIPS,43.275,LCD (LED),,64,4.5
193V5L,PHILIPS,47.013,LCD (LED),,60,5
196V4L,PHILIPS,47.013,LCD (LED),,70,4.5
19B4L,PHILIPS,48.193,LCD (LED),,64,5
19S4L,PHILIPS,48.142,LCD (LED),,64,5
200S4L,PHILIPS,52.051,LCD (LED),,82,4
200V4L,PHILIPS,49.565,LCD (LED),,85,3.5
200V4Q,PHILIPS,49.607,LCD (LED),,90,3.5
201BL2,PHILIPS,50.805,LCD (LED),,79,4
203V5L,PHILIPS,49.411,LCD (LED),,66,5
206V4L,PHILIPS,50.85,LCD (LED),,76,4.5
207E6Q,PHILIPS,49.411,LCD (LED),,65,5
220B4L,PHILIPS,55.868,LCD (LED),,74,5
220P4L,PHILIPS,55.868,LCD (LED),,74,5
220S4L,PHILIPS,55.868,LCD (LED),,73,5
221B3L,PHILIPS,54.687,LCD (LED),,87,4
221C5T,PHILIPS,54.687,LCD (LED),,97,3.5
221P3L,PHILIPS,54.687,LCD (LED),,89,4
221P6E,PHILIPS,54.687,LCD (LED),,93,4
221S3L,PHILIPS,54.687,LCD (LED),,67,5.5
223V5L,PHILIPS,54.687,LCD (LED),,94,4
225C5Q,PHILIPS,54.621,LCD (LED),,89,4
226V3L,PHILIPS,55.073,LCD (LED),,90,4
226V4L,PHILIPS,54.687,LCD (LED),,105,3.5
226V4T,PHILIPS,54.687,LCD (LED),,90,4
227E4L,PHILIPS,54.687,LCD (LED),,91,4
227E6B,PHILIPS,54.683,LCD (LED),,93,4
227E6E,PHILIPS,54.687,LCD (LED),,73,5
227E6Q,PHILIPS,54.687,LCD (LED),,93,4
231B4L,PHILIPS,58.421,LCD (LED),,99,4
231B4Q,PHILIPS,58.421,LCD (LED),,91,4.5
231C5T,PHILIPS,58.422,LCD (LED),,85,4.5
231P4Q,PHILIPS,58.421,LCD (LED),,109,3.5
231P4U,PHILIPS,58.421,LCD (LED),,108,3.5
231S4L,PHILIPS,58.421,LCD (LED),,88,4.5
231S4Q,PHILIPS,58.421,LCD (LED),,86,4.5
233V5L,PHILIPS,58.421,LCD (LED),,91,4.5
233V5Q,Philips,58.422,LCD (LED),,103,4
234E5Q,PHILIPS,58.421,LCD (LED),,91,4.5
234G5D,PHILIPS,58.421,LCD (LED),,86,4.5
236V4L,PHILIPS,58.421,LCD (LED),,91,4.5
237E4Q,PHILIPS,68.599,LCD (LED),,131,3.5
238C4Q,PHILIPS,58.421,LCD (LED),,112,3.5
238C5Q,PHILIPS,58.421,LCD (LED),,82,5
239C4Q,PHILIPS,58.421,LCD (LED),,86,4.5
240B4L,PHILIPS,61.132,LCD (LED),,99,4.5
240B4Q,PHILIPS,61.132,LCD (LED),,115,3.5
240S4L,PHILIPS,61.132,LCD (LED),,89,5
240S4Q,PHILIPS,61.132,LCD (LED),,126,3.5
240V5Q,PHILIPS,60.47,LCD (LED),,109,3.5
240V5Q,PHILIPS,60.47,LCD (LED),,101,4
241B4L,PHILIPS,60.965,LCD (LED),,106,4
241P4Q,PHILIPS,60.965,LCD (LED),,106,4
241P6E,PHILIPS,60.47,LCD (LED),,102,4
241S4L,PHILIPS,60.965,LCD (LED),,105,4
241S4L,PHILIPS,60.965,LCD (LED),,105,4
242G5D,PHILIPS,60.965,LCD (LED),,84,5
243V5L,PHILIPS,59.809,LCD (LED),,94,4.5
243V5Q,PHILIPS,59.81,LCD (LED),,116,3.5
244E5Q,PHILIPS,60.47,LCD (LED),,110,3.5
245C5Q,PHILIPS,60.468,LCD (LED),,91,4.5
246V5L,PHILIPS,60.965,LCD (LED),,92,4.5
247E4L,PHILIPS,59.809,LCD (LED),,82,5
247E6B,PHILIPS,59.809,LCD (LED),,98,4
247E6E,PHILIPS,59.809,LCD (LED),,98,4
247E6Q,PHILIPS,59.809,LCD (LED),,88,4.5
271P4Q,PHILIPS,68.566,LCD (LED),,116,4
271P4Q,PHILIPS,68.566,LCD (LED),,174,2.5
272B4Q,PHILIPS,68.46,LCD (LED),,186,2
272G5D,PHILIPS,68.565,LCD (LED),,137,3.5
272G5DY,PHILIPS,68.565,LCD (LED),,160,3
272P4Q,PHILIPS,68.554,LCD (LED),,150,3
272P4Q,PHILIPS,68.467,LCD (LED),,202,1.5
272S4L,PHILIPS,68.467,LCD (LED),,196,2
273E3L,PHILIPS,68.599,LCD (LED),,101,5
273P3L,PHILIPS,68.565,LCD (LED),,105,4.5
273P3Q,PHILIPS,68.565,LCD (LED),,121,4
273V5L,PHILIPS,68.589,LCD (LED),,106,4.5
273V5L,PHILIPS,68.565,LCD (LED),,163,2.5
273V5Q,PHILIPS,68.565,LCD (LED),,180,2.5
273V5Q,PHILIPS,68.565,LCD (LED),,115,4.5
274E5Q,PHILIPS,68.599,LCD (LED),,128,4
274G5D,PHILIPS,68.599,LCD (LED),,136,3.5
275C5Q,PHILIPS,68.599,LCD (LED),,97,5
277E6E,PHILIPS,68.599,LCD (LED),,112,4.5
277E6Q,PHILIPS,68.599,LCD (LED),,103,5
278C4Q,PHILIPS,68.579,LCD (LED),,124,4
278C5Q,PHILIPS,68.599,LCD (LED),,106,4.5
278G4D,PHILIPS,68.579,LCD (LED),,122,4
284E5Q,PHILIPS,70.847,LCD (LED),,133,4
288P6L,PHILIPS,70.854,LCD (LED),,244,1
298P4Q,PHILIPS,75.928,LCD (LED),,176,2.5
298X4Q,PHILIPS,75.928,LCD (LED),,176,2.5
BDM3270QP,PHILIPS,81.287,LCD (LED),,234,2.5
BDM4065UC,PHILIPS,100.332,LCD (LED),,345,2
C240P4Q,PHILIPS,64.997,LCD (LED),,84,5.5
C271P4Q,PHILIPS,68.566,LCD (LED),,132,3.5
C272P4Q,PHILIPS,68.467,LCD (LED),,202,1.5
C272P4Q,PHILIPS,68.467,LCD (LED),,150,3
