Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LS19E20KBRV,SAMSUNG ELECTRONICS,48.164,LCD (LED),,57,5.5
LS19E20KBWV,SAMSUNG ELECTRONICS,47.859,LCD (LED),,60,5
LS19E310HY,SAMSUNG ELECTRONICS,47.013,LCD (LED),,56,5.5
LS19E45KBRV,SAMSUNG ELECTRONICS,48.164,LCD (LED),,60,5.5
LS19E45KBRV,SAMSUNG ELECTRONICS,48.164,LCD (LED),,57,5.5
LS19E45KBWV,SAMSUNG ELECTRONICS,48.113,LCD (LED),,60,5
LS20D300NH,SAMSUNG ELECTRONICS,49.402,LCD (LED),,59,5.5
LS22E310HY,SAMSUNG ELECTRONICS,54.626,LCD (LED),,77,4.5
LS22E310HY,SAMSUNG ELECTRONICS,54.626,LCD (LED),,77,4.5
LS22E360HS,SAMSUNG ELECTRONICS,54.626,LCD (LED),,82,4.5
LS22E390HS,SAMSUNG ELECTRONICS,54.626,LCD (LED),,82,4.5
LS22E45KBWV,SAMSUNG ELECTRONICS,55.883,LCD (LED),,66,5.5
LS22E45KBWV,SAMSUNG ELECTRONICS,54.506,LCD (LED),,70,5
LS22E45KDWV,SAMSUNG ELECTRONICS,54.713,LCD (LED),,83,4.5
LS22E45UDWM,SAMSUNG ELECTRONICS,55.883,LCD (LED),,74,5
LS23E45KBS,SAMSUNG ELECTRONICS,58.434,LCD (LED),,97,4
LS24D300HLR,SAMSUNG ELECTRONICS,59.774,LCD (LED),,99,4
LS24E310HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,78,5
LS24E310HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,78,5
LS24E360HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,75,5.5
LS24E390HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,75,5.5
LS24E45KDLV,SAMSUNG ELECTRONICS,59.774,LCD (LED),,96,4
LS24E45UFSX,SAMSUNG ELECTRONICS,60.503,LCD (LED),,100,4
LS24E510CS/XY,SAMSUNG ELECTRONICS,61.163,LCD (LED),,111,3.5
LS24E65KBWV,SAMSUNG ELECTRONICS,61.098,LCD (LED),,109,4
LS24E65KDWV,SAMSUNG ELECTRONICS,61.098,LCD (LED),,109,4
LS24E65UDWM,SAMSUNG ELECTRONICS,61.098,LCD (LED),,109,4
LS27D590CS/XY,SAMSUNG ELECTRONICS,68.729,LCD (LED),,130,4
LS27D590CS/ZN,SAMSUNG ELECTRONICS,68.729,LCD (LED),,130,4
LS27E310HS,SAMSUNG ELECTRONICS,68.593,LCD (LED),,116,4
LS27E310HSG,SAMSUNG ELECTRONICS,68.593,LCD (LED),,116,4
LS27E360FS,SAMSUNG ELECTRONICS,68.593,LCD (LED),,95,5
LS27E360HS,SAMSUNG ELECTRONICS,68.593,LCD (LED),,95,5
LS27E390H,SAMSUNG ELECTRONICS,68.593,LCD (LED),,95,5
LS27E390HS,SAMSUNG ELECTRONICS,68.593,LCD (LED),,95,5
LS27E45KBSV,SAMSUNG ELECTRONICS,68.593,LCD (LED),,119,4
LS27E45KDSV,SAMSUNG ELECTRONICS,68.593,LCD (LED),,123,4
LS27E510CS,SAMSUNG ELECTRONICS,68.506,LCD (LED),,137,3.5
LS27E510CSX,SAMSUNG ELECTRONICS,68.506,LCD (LED),,137,3.5
LS27E591CS,SAMSUNG ELECTRONICS,68.506,LCD (LED),,131,3.5
LS32E590CS/XY,SAMSUNG ELECTRONICS,80.054,LCD (LED),,163,4
LU24E590DS,SAMSUNG ELECTRONICS,59.774,LCD (LED),,154,2
LU24E85KRS,SAMSUNG ELECTRONICS,59.774,LCD (LED),,153,2
LU28E590DS,SAMSUNG ELECTRONICS,70.846,LCD (LED),,139,3.5
LU28E85KRS,SAMSUNG ELECTRONICS,70.846,LCD (LED),,144,3.5
LU32E85KRS,SAMSUNG ELECTRONICS,79.967,LCD (LED),,237,2
S19B420BW,SAMSUNG ELECTRONICS,48.113,LCD (LED),,68,4.5
S19C450BR,SAMSUNG ELECTRONICS,48.164,LCD (LED),,76,4.5
S19C450BW,SAMSUNG ELECTRONICS,48.113,LCD (LED),,64,5
S20C300BL,SAMSUNG ELECTRONICS,49.371,LCD (LED),,58,5.5
S20D300H,SAMSUNG ELECTRONICS,49.371,LCD (LED),,59,5.5
S20D300HY,SAMSUNG ELECTRONICS,49.371,LCD (LED),,59,5.5
S22B150N,SAMSUNG ELECTRONICS,54.626,LCD (LED),,84,4.5
S22B420BW,SAMSUNG ELECTRONICS,55.883,LCD (LED),,81,4.5
S22C200B,SAMSUNG ELECTRONICS,54.626,LCD (LED),,98,3.5
S22C200BW,SAMSUNG ELECTRONICS,55.883,LCD (LED),,81,4.5
S22C300B,SAMSUNG ELECTRONICS,54.626,LCD (LED),,86,4
S22C350H,SAMSUNG ELECTRONICS,54.626,LCD (LED),,86,4
S22C450B,SAMSUNG ELECTRONICS,54.626,LCD (LED),,98,3.5
S22C450BW,SAMSUNG ELECTRONICS,55.883,LCD (LED),,81,4.5
S22D300FY,SAMSUNG ELECTRONICS,54.626,LCD (LED),,79,4.5
S22D300HY,SAMSUNG ELECTRONICS,54.626,LCD (LED),,79,4.5
S22D360Q,SAMSUNG ELECTRONICS,54.626,LCD (LED),,119,2.5
S22D390H,SAMSUNG ELECTRONICS,54.626,LCD (LED),,68,5
S23B350H,SAMSUNG ELECTRONICS,58.521,LCD (LED),,102,4
S23C350H,SAMSUNG ELECTRONICS,58.521,LCD (LED),,93,4
S24B150BL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,83,5
S24B420BW,SAMSUNG ELECTRONICS,61.098,LCD (LED),,99,4.5
S24C200BL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,91,4.5
S24C300HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,101,4
S24C350HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,101,4
S24C370HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,101,4
S24C450BL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,91,4.5
S24C450BW,SAMSUNG ELECTRONICS,61.098,LCD (LED),,110,4
S24C650BW,SAMSUNG ELECTRONICS,61.098,LCD (LED),,95,4.5
S24C750P,SAMSUNG ELECTRONICS,60.939,LCD (LED),,131,3
S24C770TS,SAMSUNG ELECTRONICS,60.939,LCD (LED),,120,3.5
S24D300B,SAMSUNG ELECTRONICS,60.939,LCD (LED),,87,5
S24D300BL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,76,5.5
S24D300FL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,76,5.5
S24D300H,SAMSUNG ELECTRONICS,60.939,LCD (LED),,87,5
S24D300HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,76,5.5
S24D360HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,80,5
S24D390HL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,80,5
S24D590PL,SAMSUNG ELECTRONICS,59.774,LCD (LED),,79,5
S27A850DS,SAMSUNG ELECTRONICS,68.816,LCD (LED),,183,2
S27B970DS,SAMSUNG ELECTRONICS,68.506,LCD (LED),,177,2.5
S27C350H,SAMSUNG ELECTRONICS,68.506,LCD (LED),,136,3.5
S27C450B,SAMSUNG ELECTRONICS,68.506,LCD (LED),,138,3.5
S27C500H,SAMSUNG ELECTRONICS,68.506,LCD (LED),,93,5
S27C570H,SAMSUNG ELECTRONICS,68.506,LCD (LED),,87,5.5
S27C750P,SAMSUNG ELECTRONICS,68.506,LCD (LED),,128,4
S27D390H,SAMSUNG ELECTRONICS,68.506,LCD (LED),,107,4.5
S27D590P,SAMSUNG ELECTRONICS,68.506,LCD (LED),,109,4.5
S27D850T,SAMSUNG ELECTRONICS,68.506,LCD (LED),,167,2.5
S32D850T,SAMSUNG ELECTRONICS,80.103,LCD (LED),,206,2.5
U28D590D,SAMSUNG ELECTRONICS,70.846,LCD (LED),,136,3.5
