Model Number,Brand Name,Screen Size,Screen Technology,,Comparative Energy Consumption,Star Rating
VS13780,ViewSonic,48.141,LCD,,56,5.5
VS13818,ViewSonic,54.683,LCD,,82,4.5
VS13860,ViewSonic,59.81,LCD,,93,4.5
VS14298,ViewSonic,54.683,LCD,,88,4
VS14441,ViewSonic,55.871,LCD,,83.99,4.5
VS14517,ViewSonic,55.871,LCD,,74,5
VS14761,ViewSonic,54.626,LCD (LED),,77,4.5
VS14782,ViewSonic,59.809,LCD (LED),,80,5
VS14818,ViewSonic,68.565,LCD (LED),,109,4.5
VS14833,ViewSonic,54.687,LCD (LED),,68,5
VS14863,ViewSonic,43.271,LCD,,66,4.5
VS14880,ViewSonic,58.422,LCD (LED),,92,4.5
VS14886,ViewSonic,68.599,LCD (LED),,94,5
VS14995,ViewSonic,59.809,LCD (LED),,75,5.5
VS15023,ViewSonic,58.421,LCD (LED),,85,4.5
VS15032,ViewSonic,49.565,LCD,,62,5
VS15052,ViewSonic,54.625,LCD (LED),,84,4.5
VS15103,ViewSonic,48.194,LCD,,52,6
VS15153,ViewSonic,59.774,LCD (LED),,87,4.5
VS15423,ViewSonic,68.599,LCD (LED),,140,3.5
VS15449,ViewSonic,52.295,LCD,,70,5
VS15451,ViewSonic,54.625,LCD,,98,3.5
VS15453,ViewSonic,59.81,LCD,,77,5
VS15465,ViewSonic,58.422,LCD,,101,4
VS15556,ViewSonic,54.626,LCD,,92,4
VS15560,ViewSonic,54.626,LCD (LED),,70,5
VS15562,ViewSonic,59.774,LCD (LED),,78,5
VS15614,ViewSonic,54.687,LCD,,94,4
VS15615,ViewSonic,59.809,LCD,,101,4
VS15675,ViewSonic,59.774,LCD (LED),,89,4.5
VS15676,ViewSonic,68.593,LCD (LED),,108,4.5
VS15701,ViewSonic,54.625,LCD (LED),,76,4.5
VS15703,ViewSonic,58.422,LCD (LED),,82,5
VS15802,ViewSonic,74.57,LCD (LED),,150,3.5
VS15804,ViewSonic,74.57,LCD (LED),,128,4.5
VS15810,ViewSonic,70.847,LCD,,131,4
VS15826,ViewSonic,43.26,LCD (LED),,46,6
VS15843,ViewSonic,47.996,LCD,,64,5
VS15927,ViewSonic,60.969,LCD (LED),,118,3.5
VS15929,ViewSonic,59.809,LCD,,88,4.5
VS16024,ViewSonic,59.809,LCD,,136,2.5
VS16029,ViewSonic,54.625,LCD (LED),,59,6
VS16033,ViewSonic,59.81,LCD (LED),,62,6
