Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KALED24144B,kogan,60.965,LCD (LED),,50,7
KALED24144C,kogan,60.965,LCD (LED),,50,7
KALED24144D,kogan,60.965,LCD (LED),,50,7
KALED24144E,kogan,60.965,LCD (LED),,50,7
KALED24144F,kogan,60.965,LCD (LED),,50,7
KALED24144G,kogan,60.965,LCD (LED),,50,7
KALED24144H,kogan,60.965,LCD (LED),,50,7
KALED24MONA,KOGAN,60.47,LCD (LED),,80,5
KALED24MONB,KOGAN,60.47,LCD (LED),,80,5
KALED27MONSA,Kogan,68.599,LCD (LED),,129,4
KALED27MONSB,Kogan,68.599,LCD (LED),,129,4
KALED28UHDA,KOGAN,70.854,LCD (LED),,167,3
KALED28UHDB,KOGAN,70.854,LCD (LED),,167,3
M23885,KOGAN,60.47,LCD (LED),,80,5
SYM24E01D,kogan,60.965,LCD (LED),,50,7
SYM24E02D,kogan,60.965,LCD (LED),,50,7
SYM24E03D,kogan,60.965,LCD (LED),,50,7
