Model No,Brand,Control,Prog Name,Type,New CEC,New Star
10DQD,lenovo,61.778,LCD,,86,5
E1922 wD,lenovo,47.013,LCD,,45,6
E1922swD,lenovo,47.013,LCD,,56,5.5
E2013wD,Lenovo,49.407,LCD (LED),,59,5.5
E2223swA,lenovo,57.533,LCD (LED),,76,5
E2323swA,lenovo,57.533,LCD (LED),,86,4.5
F2014sA,lenovo,49.407,LCD (LED),,66,5
L1711pC,lenovo,43.271,LCD,,49,6
LI2342wA,lenovo,58.377,LCD (LED),,86,4.5
LS1922wA,lenovo,47.013,LCD (LED),,46,6
LS2023wC,lenovo,50.801,LCD,,57,5.5
LS2223wC,lenovo,54.683,LCD,,73,5
LS2323wA,lenovo,58.489,LCD (LED),,84,4.5
LT1421wD,lenovo,35.495,LCD,,26,7
LT1423pwC,lenovo,33.706,LCD,,34,6
LT1423pwCA,lenovo,33.706,LCD,,30,6
LT1713pC,lenovo,43.275,LCD,,43,6
LT1913pA,lenovo,47.996,LCD (LED),,64,5
LT1952pwD,lenovo,48.142,LCD,,65,5
LT1953wA,lenovo,48.142,LCD (LED),,61,5
LT2013pwA,lenovo,49.409,LCD (LED),,64,5
LT2013swA,lenovo,49.411,LCD (LED),,62,5
LT2024wA,lenovo,50.805,LCD (LED),,55,6
LT2223dwC,lenovo,54.683,LCD,,59,6
LT2223pwC,lenovo,54.611,LCD,,80,4.5
LT2223zwC,lenovo,54.611,LCD,,68,5
LT2252pwA,lenovo,55.868,LCD (LED),,76,5
LT2252wA,lenovo,55.868,LCD (LED),,76,5
LT2323pwA,lenovo,58.487,LCD (LED),,88,4.5
LT2323zwC,lenovo,58.564,LCD,,85,4.5
LT2423wC,lenovo,60.956,LCD,,73,5.5
LT3053pwA,lenovo,75.623,LCD (LED),,227,2
Pro2820D,lenovo,70.847,LCD,,101,5
Pro2840mD,lenovo,74.663,LCD,,192,2.5
T2014A,lenovo,49.411,LCD (LED),,66,5
T2014sA,lenovo,49.411,LCD (LED),,66,5
T2220wA,lenovo,54.621,LCD (LED),,87,4
T2224pD,lenovo,54.625,LCD (LED),,67,5.5
T2224zD,lenovo,54.625,LCD (LED),,72,5
T2254pC,lenovo,55.883,LCD (LED),,53,6
T2324pA,lenovo,58.421,LCD (LED),,89,4.5
T2424pA,lenovo,60.47,LCD (LED),,80,5
T2424zA,lenovo,60.47,LCD (LED),,87,4.5
T2454pA,lenovo,61.132,LCD (LED),,95,4.5
X24A,lenovo,60.47,LCD (LED),,69,6
