Model No,Brand,Control,Prog Name,Type,New CEC,New Star
F77000M0P/AU,AEG,Single,Built-in,820,308,3
F77000W0P/AU,AEG,Single,Built-in,820,308,3
F77000W0P/M0P,AEG,Single,Built-in,818,271,3
F78002VI0P,AEG,Single,Built-in,818,271,3
F78002VI0P/AU,AEG,Single,Built-in,820,308,3
F88009M0P/AU,AEG,Single,Built-in,820,308,3
F88009W0P/AU,AEG,Single,Built-in,820,308,3
F88009W0P/M0P,AEG,Single,Built-in,818,271,3
F88089M0P,AEG,Single,Built-in,818,271,3
F99015IM0P,AEG,Single,Built-in,818,271,3
F99015IM0P/AU,AEG,Single,Built-in,820,308,3
