Model No,Brand,Control,Prog Name,Type,New CEC,New Star
"D5424, D5532, D5904, D5954",ASKO,Single,Built-in,820,322,3
D5434,ASKO,Single,Built-in,860,259,3.5
D5434,ASKO,Single,Built-in,910,259,3.5
D5436,ASKO,Single,Built-in,821,275,3.5
D5454,ASKO,Single,Built-in,860,259,3.5
D5454,ASKO,Single,Built-in,910,259,3.5
D5456,ASKO,Single,Built-in,821,275,3.5
D5457,ASKO,Single,Built-in,860,273,3.5
D5457,ASKO,Single,Built-in,910,273,3.5
D5532,ASKO,Single,Built-in,825,385,2.5
D5532,ASKO,Single,Built-in,825,385,2.5
D5534,ASKO,Single,Built-in,860,273,3.5
D5534,ASKO,Single,Built-in,910,273,3.5
D5534,ASKO,Single,Built-in,910,273,3.5
D5536,ASKO,Single,Built-in,821,275,3.5
D5544,ASKO,Single,Built-in,860,273,3.5
D5544,ASKO,Single,Built-in,910,273,3.5
D5544,ASKO,Single,Built-in,910,273,3.5
D5546,ASKO,Single,Built-in,821,275,3.5
D5644,ASKO,Single,Built-in,860,273,3.5
D5644,ASKO,Single,Built-in,910,273,3.5
D5644,ASKO,Single,Built-in,910,273,3.5
D5646,ASKO,Single,Built-in,821,275,3.5
D5893XXL,ASKO,Single,Built-in,560,269,3.5
D5894,ASKO,Single,Built-in,860,294,3.5
D5894,ASKO,Single,Built-in,910,294,3.5
D5896,ASKO,Single,Built-in,821,314,3.5
D5904,ASKO,Single,Built-in,860,385,2.5
D5904,ASKO,Single,Built-in,910,322,3
D5904,ASKO,Single,Built-in,910,385,2.5
D5954,ASKO,Single,Built-in,860,385,2.5
D5954,ASKO,Single,Built-in,910,322,3
D5954,ASKO,Single,Built-in,910,385,2.5
