Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BAD4504,BAUMATIC,Single,Freestanding,850,244,2
BBM14S,Baumatic,Single,Freestanding,,312,3
BDW603,BAUMATIC,Single,Freestanding,,320,3
BDW60S,BAUMATIC,Single,Freestanding,850,277,3
BDW60W,BAUMATIC,Single,Freestanding,850,277,3
BDW61S,Baumatic,Single,Freestanding,850,274,3
BDW61W,Baumatic,Single,Freestanding,850,274,3
BDW65S,BAUMATIC,Single,Freestanding,,264,3.5
BDW65W,BAUMATIC,Single,Freestanding,,264,3.5
BDW66S,Baumatic,Single,Freestanding,850,310,3
BDW66W,Baumatic,Single,Freestanding,850,310,3
BDW70S,BAUMATIC,Single,Freestanding,845,260,3.5
BDW70W,BAUMATIC,Single,Freestanding,845,260,3.5
BDW71S,BAUMATIC,Single,Freestanding,850,264,3.5
BDWI660-AUS,BAUMATIC,Single,Freestanding,,264,3.5
BFD6S,Baumatic,Single,Freestanding,845,329,3
BFD6W,Baumatic,Single,Freestanding,845,329,3
BKD14IN,BAUMATIC,Single,Built-in,820,379,2
BKD14IN,BAUMATIC,Single,Built-in,850,379,2
BKD45-1,BAUMATIC,Single,Built-in,820,294,1.5
BKD46,BAUMATIC,Single,Freestanding,,330,1
BKD600SS,BAUMATIC,Single,Freestanding,850,277,3
BKD62,BAUMATIC,Single,Freestanding,,340,2
BKD64PSS,BAUMATIC,Single,Freestanding,850,355,2
BKD65SS,BAUMATIC,Single,Freestanding,,319,2.5
BKD65W,BAUMATIC,Single,Freestanding,,319,2.5
BKDIN,BAUMATIC,Single,Built-in,,379,2
BKDW45SS,BAUMATIC,Single,Built-in,,294,1.5
BKDW45W,BAUMATIC,Single,Built-in,,294,1.5
BKDW60SS,BAUMATIC,Single,Built-in,,277,3
BKDW60W,BAUMATIC,Single,Built-in,,277,3
BKDWIN14,BAUMATIC,Single,Freestanding,,329,3
BKMG5,BAUMATIC,Single,Freestanding,850,355,2
BKSG5,BAUMATIC,Single,Freestanding,850,355,2
BKTG5,BAUMATIC,Single,Freestanding,850,355,2
BMD14S,Baumatic,Single,Freestanding,,324,3
BSS14,Baumatic,Single,Freestanding,,312,3
DW45IN,BAUMATIC,Single,Built-in,820,294,1.5
SGDI,BAUMATIC,Single,Built-in,,379,2
