Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DDN 5834 *,BEKO,Single,Built-in,,328,3
DDN 5838  *,BEKO,Single,Built-in,,312,3
DFN 1503 W,BEKO,Single,Freestanding,,324,3
DFN 1503 X,BEKO,Single,Freestanding,,324,3
DIN 1510 *,BEKO,Single,Built-in,,324,3
DIN 5834 *,BEKO,Single,Built-in,,328,3
DIN 5838  *,BEKO,Single,Built-in,,312,3
DSFN 1530 W,BEKO,Single,Freestanding,,324,3
DSFN 4630 *,BEKO,Single,Freestanding,,324,3
DSFN 6831 *,BEKO,Single,Freestanding,,274,3.5
DSFN 6832 *,BEKO,Single,Freestanding,,328,3
DSFN 6835 *,BEKO,Single,Freestanding,,312,3
DSFN 6837 *,BEKO,Single,Freestanding,,230,4
