Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BDDW605W,BELLINI,Single,Built-in,820,274,3
BDDW605W-F,BELLINI,Single,Built-in,820,274,3
BDDW605X,BELLINI,Single,Built-in,820,274,3
BDDW605X-F,BELLINI,Single,Built-in,820,274,3
BDW107W,BELLINI,Single,Freestanding,,382,2
BDW107X,BELLINI,Single,Freestanding,,382,2
BDW127S,BELLINI,Single,Freestanding,850,274,3
BDW127S-F,BELLINI,Single,Freestanding,850,274,3
BDW127W,BELLINI,Single,Freestanding,850,274,3
BDW127W-F,BELLINI,Single,Freestanding,850,274,3
BDW127X,BELLINI,Single,Freestanding,850,274,3
BDW127X-F,BELLINI,Single,Freestanding,850,274,3
BDW86S,BELLINI,Single,Freestanding,850,244,2
BDW86S-F,BELLINI,Single,Freestanding,850,244,2
BDW86W,BELLINI,Single,Freestanding,850,244,2
BDW86W-F,BELLINI,Single,Freestanding,850,244,2
BDW86X,BELLINI,Single,Freestanding,850,244,2
BDW86X-F,BELLINI,Single,Freestanding,850,244,2
