Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BDW146X,Blanco,Single,Built-in,,320,3
BDW3456X,Blanco,Single,Freestanding,845,352,3
BDW3458X,Blanco,Single,Freestanding,845,352,3
BDW34X,Blanco,Single,Freestanding,,320,3
BDW4510X,Blanco,Single,Freestanding,,245,4
BDW45X,Blanco,Single,Freestanding,,224,3
BDW4610X,BLANCO,Single,Built-in,,243,4
BDW8345X,BLANCO,Single,Freestanding,,352,3
BFD645X,Blanco,Single,Built-in,845,260,3.5
BFD65X,Blanco,Single,Freestanding,845,292,3.5
BFD9XP,BLANCO,Single,Built-in,,244,3.5
BFID346X,BLANCO,Single,Built-in,,329,3
BFID469X,BLANCO,Single,Built-in,,243,4
BID11P,Blanco,Single,Built-in,,293,3
BSD9XP,BLANCO,Single,Built-in,,244,3.5
BSID346X,Blanco,Single,Built-in,,320,3
BSID4610X,BLANCO,Single,Built-in,,243,4
DWF45X,BLANCO,Single,Freestanding,,235,3
DWF4X,BLANCO,Single,Freestanding,,274,3.5
DWF5X,BLANCO,Single,Freestanding,,275,3.5
DWF6X,BLANCO,Single,Freestanding,,275,3.5
DWF6XP,BLANCO,Single,Freestanding,,274,3.5
DWIN7,BLANCO,Single,Built-in,,274,3.5
DWS5X,BLANCO,Single,Freestanding,,275,3.5
