Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SBI69M15AU,BOSCH,Single,Built-in,,245,4
SBU69T05AU,BOSCH,Single,Built-in,,245,4
SBV69T00AU,BOSCH,Single,Built-in,,245,4
SCE53M05AU,BOSCH,Single,Built-in,,180,3
SCE63M05AU,BOSCH,Single,Built-in,,180,3
SGI53E15AU,BOSCH,Single,Built-in,,310,3
SGS65M08AU,BOSCH,Single,Built-in,,310,3
SGU53E15AU,BOSCH,Single,Built-in,,310,3
SGU55E12AU,BOSCH,Single,Built-in,,310,3
SGU55E15AU,BOSCH,Single,Built-in,,310,3
SGV53E03AU,BOSCH,Single,Built-in,,310,3
SKE53M05AU,BOSCH,Single,Built-in,,135,3
SMI40M05AU,BOSCH,Single,Built-in,,225,4
SMI50D05AU,BOSCH,Single,Built-in,,268,3.5
SMI50E45AU,BOSCH,Single,Built-in,,225,4
SMI50M05AU,BOSCH,Single,Built-in,,220,4
SMI68M25AU,BOSCH,Dual,Built-in,,235,4
SMI69M15AU,BOSCH,Single,Built-in,,245,4
SMI88TS01A,BOSCH,Dual,Built-in,,235,4
SMP63M05AU,BOSCH,Single,Built-in,,220,4
SMP68M05AU,BOSCH,Dual,Built-in,,235,4
SMS40E02AU,BOSCH,Single,Built-in,,268,3
SMS40E08AU,BOSCH,Single,Built-in,,268,3
SMS40M02AU,BOSCH,Single,Built-in,,225,4
SMS40M08AU,BOSCH,Single,Built-in,,225,4
SMS40M12AU,BOSCH,Single,Built-in,,225,4
SMS40M18AU,BOSCH,Single,Built-in,,225,4
SMS50D02AU,BOSCH,Single,Freestanding,,230,4
SMS50D08AU,BOSCH,Single,Freestanding,,230,4
SMS50E32AU,BOSCH,Single,Built-in,,268,3.5
SMS50E38AU,BOSCH,Single,Built-in,,268,3.5
SMS50E42AU,BOSCH,Single,Built-in,,225,4
SMS50E52AU,BOSCH,Single,Built-in,,225,4
SMS50M22AU,BOSCH,Single,Built-in,,220,4
SMS50M28AU,BOSCH,Single,Built-in,,220,4
SMS53E02AU,BOSCH,Single,Built-in,,225,4
SMS60D08AU,BOSCH,Single,Freestanding,,230,4
SMS60M18AU,BOSCH,Single,Built-in,,268,3.5
SMS63L08AU,BOSCH,Single,Freestanding,,230,4
SMS63L18AU,BOSCH,Single,Freestanding,,230,4
SMS63M18AU,BOSCH,Single,Built-in,,225,4
SMS63M28AU,BOSCH,Single,Built-in,,225,4
SMS63M38AU,BOSCH,Single,Built-in,,220,4
SMS65M08AU,BOSCH,Single,Built-in,,323,3
SMS68M02AU,BOSCH,Single,Built-in,,245,4
SMS68M12AU,BOSCH,Single,Built-in,,245,4
SMS68M22AU,BOSCH,Single,Freestanding,,245,4
SMS68M28AU,BOSCH,Single,Freestanding,,245,4
SMS68M32AU,BOSCH,Dual,Built-in,,235,4
SMS68M38AU,BOSCH,Dual,Built-in,,235,4
SMS68T08AU,BOSCH,Single,Built-in,,245,4
SMS69M18AU,BOSCH,Single,Built-in,,323,3
SMS69T12AU,BOSCH,Single,Built-in,,245,4
SMS69T18AU,BOSCH,Single,Built-in,,245,4
SMS69T28AU,BOSCH,Single,Freestanding,,206,4.5
SMS88TI01A,BOSCH,Dual,Built-in,,235,4
SMS88TI03A,BOSCH,Single,Built-in,,205,4.5
SMU40M05AU,BOSCH,Single,Built-in,,225,4
SMU50D05AU,BOSCH,Single,Built-in,,268,3.5
SMU50E05AU,BOSCH,Single,Built-in,,268,3
SMU50E32AU,BOSCH,Single,Built-in,,268,3.5
SMU50E35AU,BOSCH,Single,Built-in,,268,3.5
SMU50E45AU,BOSCH,Single,Built-in,,225,4
SMU50E55AU,BOSCH,Single,Built-in,,225,4
SMU50E65AU,BOSCH,Single,Built-in,,268,3.5
SMU50E75AU,BOSCH,Single,Built-in,,268,3
SMU50L05AU,BOSCH,Single,Built-in,,268,3.5
SMU50M05AU,BOSCH,Single,Built-in,,220,4
SMU50M15AU,BOSCH,Single,Built-in,,220,4
SMU53E05AU,BOSCH,Single,Built-in,,225,4
SMU63M25AU,BOSCH,Single,Built-in,,220,4
SMU65M25AU,BOSCH,Single,Built-in,,323,3
SMU68M05AU,BOSCH,Single,Built-in,,245,4
SMU68M15AU,BOSCH,Single,Built-in,,245,4
SMU68M25AU,BOSCH,Dual,Built-in,,235,4
SMU69M05AU,BOSCH,Single,Built-in,,323,3
SMU69M15AU,BOSCH,Single,Built-in,,323,3
SMU69U75AU,BOSCH,Single,Built-in,,245,4
SMU69U75AU,BOSCH,Single,Built-in,,245,4
SMU69U85AU,BOSCH,Single,Built-in,,206,4.5
SMU88TS01A,BOSCH,Dual,Built-in,,235,4
SMU88TS03A,BOSCH,Single,Built-in,,205,4.5
SMV50D00AU,BOSCH,Single,Built-in,,268,3.5
SMV63M00AU,BOSCH,Single,Built-in,,225,4
SMV63M10AU,BOSCH,Single,Built-in,,220,4
SMV69T10AU,BOSCH,Single,Built-in,,245,4
SMV88TX01A,BOSCH,Dual,Built-in,,235,4
SPS60M08AU,BOSCH,Single,Freestanding,,197,3
SPU53E05AU,BOSCH,Single,Built-in,,197,3
SPU63M05AU,BOSCH,Single,Built-in,,197,3
SPU68M05AU,BOSCH,Dual,Built-in,,205,3.5
SPV67M00AU,BOSCH,Dual,Built-in,,205,3.5
SRU53E15AU,BOSCH,Single,Built-in,,215,2.5
