Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CDW66S,Classique,Single,Freestanding,850,310,3
CDW66W,Classique,Single,Freestanding,850,310,3
CL45DSS,CLASSIQUE,Single,Built-in,,294,1.5
CL45DW,CLASSIQUE,Single,Built-in,,294,1.5
CL60DSS,CLASSIQUE,Single,Built-in,,311,2.5
CL60DW,CLASSIQUE,Single,Built-in,,311,2.5
CLD12SS,CLASSIQUE,Single,Freestanding,850,319,2.5
CLD12W,CLASSIQUE,Single,Freestanding,850,319,2.5
CLD14IN,CLASSIQUE,Single,Freestanding,,329,3
CLD60CTSS,Classique,Single,Freestanding,850,270,3.5
CLD60SS,CLASSIQUE,Single,Freestanding,850,277,3
CLD60W,CLASSIQUE,Single,Freestanding,850,277,3
CLDESS,CLASSIQUE,Single,Freestanding,850,336,2.5
CLDEW,CLASSIQUE,Single,Freestanding,850,336,2.5
CLDSS,CLASSIQUE,Single,Freestanding,850,340,2
CLDW,CLASSIQUE,Single,Freestanding,850,340,2
CLDW60*,CLASSIQUE,Single,Freestanding,,327,2.5
