Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DEDW45S,DELONGHI,Single,Freestanding,850,246,2
DEDW60S,DELONGHI,Single,Freestanding,850,330,2.5
DEDW60SI,DELONGHI,Single,Freestanding,850,327,2.5
DEDW60W,DELONGHI,Single,Freestanding,850,330,2.5
DEDW645S,DELONGHI,Single,Freestanding,845,270,3.5
DEDW645SI,DELONGHI,Single,Freestanding,845,270,3.5
DEDW645W,DELONGHI,Single,Freestanding,845,270,3.5
DEDW650S,DELONGHI,Single,Freestanding,815,292,3.5
DEDW650S,DELONGHI,Single,Freestanding,845,227,4
DEDW654FI,DELONGHI,Single,Freestanding,845,227,4
DEDW87S,DELONGHI,Single,Freestanding,850,317,3
DEDW97FI,DELONGHI,Single,Freestanding,820,326,3
DW28S,DELONGHI,Single,Built-in,,319,2.5
DW28W,DELONGHI,Single,Built-in,,319,2.5
