Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DSF6105W,Dishlex,Single,Freestanding,850,274,3
DSF6105X,Dishlex,Single,Freestanding,850,274,3
DSF6205W,Dishlex,Single,Freestanding,850,274,3
DSF6205X,Dishlex,Single,Freestanding,850,274,3
DSF6305W,Dishlex,Single,Freestanding,850,274,3
DSF6305X,Dishlex,Single,Freestanding,850,274,3
DX103SK,Dishlex,Single,Freestanding,850,332,2.5
DX103WK,Dishlex,Single,Freestanding,850,332,2.5
DX203SK,Dishlex,Single,Freestanding,850,325,2.5
DX203WK,Dishlex,Single,Freestanding,850,325,2.5
