Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ED12GSA,EURO,Single,Freestanding,,311,2.5
ED12GWA,EURO,Single,Freestanding,,311,2.5
ED5DESA,EURO,Single,Freestanding,,311,2.5
ED5DEWA,EURO,Single,Freestanding,,311,2.5
ED8GSA,EURO,Single,Freestanding,,244,2
EDM15XS,EURO,Single,Freestanding,845,352,3
EDPR60SS,EURO,Single,Freestanding,850,281,3
EDPR60WH,EURO,Single,Freestanding,850,281,3
EDS14INTD,EURO,Dual,Freestanding,815,320,3
EDS14SX,EURO,Single,Freestanding,845,270,3.5
EDS14SXSEMI,EURO,Single,Freestanding,815,260,3.5
EDS845SX,EURO,Single,Freestanding,845,224,3
EDV600SS,EURO,Single,Freestanding,850,278,3
EDV600WH,EURO,Single,Freestanding,850,278,3
EID14GSA,EURO,Single,Freestanding,,329,3
EP603SS,EURO,Single,Freestanding,850,278,3
EP603WH,EURO,Single,Freestanding,850,278,3
EP845DSX,EURO,Single,Freestanding,850,244,2
EPF60DS,EURO,Single,Freestanding,845,327,2.5
EPF60DWH,EURO,Single,Freestanding,845,327,2.5
