Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DWC065PS,Everdure,Single,On Bench,,191,2
DWC065WE,Everdure,Single,On Bench,,191,2
DWF125PS,EVERDURE,Single,Freestanding,,311,2.5
DWF125WE,EVERDURE,Single,Freestanding,,311,2.5
DWF126SS,EVERDURE,Single,Freestanding,,311,2.5
DWF146PC,Everdure,Single,Freestanding,,320,3
DWF146PS,EVERDURE,Single,Freestanding,,329,3
DWF146SC,Everdure,Single,Freestanding,,320,3
DWF146SS,EVERDURE,Single,Freestanding,,329,3
DWF146WC,Everdure,Single,Freestanding,,320,3
DWF146WE,EVERDURE,Single,Freestanding,,329,3
DWF4586SS,Everdure,Single,Built-in,,294,1.5
DWF614SS,Everdure,Single,Freestanding,,320,3
DWF614WE,Everdure,Single,Freestanding,,320,3
