Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DD60*7,FISHER & PAYKEL,Single,Built-in,,134,3.5
DD60CCX1,FISHER & PAYKEL,Single,Built-in,,272,3.5
DD60CEX1,FISHER & PAYKEL,Single,Built-in,,288,3
DD60DAW8,FISHER & PAYKEL,Single,Built-in,820,134,3.5
DD60DAX8,FISHER & PAYKEL,Single,Built-in,820,134,3.5
DD90SDFT*2,FISHER & PAYKEL,Single,Built-in,,197,3
DD90STI2,FISHER & PAYKEL,Single,Built-in,,210,3
DW60CCW1,FISHER & PAYKEL,Single,Built-in,,272,3.5
DW60CEW1,FISHER & PAYKEL,Single,Built-in,,288,3
DW60CH*1/DW60CHP*1,FISHER & PAYKEL,Single,Freestanding,850,271,3.5
DW60CK*1,FISHER & PAYKEL,Single,Freestanding,850,208,4
