Model No,Brand,Control,Prog Name,Type,New CEC,New Star
W60A1A401A,GALANZ,Single,Built-in,,274,3
W60A1A401A,Galanz,Single,Built-in,820,254,3
W60A1A401B,GALANZ,Single,Built-in,,274,3
W60A1A401B,Galanz,Single,Built-in,820,254,3
W60A1A401D,GALANZ,Single,Built-in,820,274,3
W60A1A401D,Galanz,Single,Built-in,820,254,3
W60A1A401E,GALANZ,Single,Built-in,820,274,3
W60A1A401E,Galanz,Single,Built-in,820,254,3
W60A1A401F,GALANZ,Single,Built-in,820,274,3
W60A1A401F,Galanz,Single,Built-in,820,254,3
W60A2A401A,GALANZ,Single,Built-in,,274,3
W60A2A401A,Galanz,Single,Built-in,820,254,3
W60A2A401B,GALANZ,Single,Built-in,820,274,3
W60A2A401B,Galanz,Single,Built-in,820,254,3
W60A2A411B,Galanz,Single,Built-in,820,254,3
W60A3A401A,GALANZ,Single,Built-in,820,274,3
W60A3A401A,Galanz,Single,Built-in,820,254,3
W60A3A401E,GALANZ,Single,Built-in,820,274,3
W60A3A401E,Galanz,Single,Built-in,820,254,3
W60A3A401F,GALANZ,Single,Built-in,820,274,3
W60A3A401F,Galanz,Single,Built-in,820,254,3
