Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DDY 062,HOOVER,Single,Freestanding,850,382,2
DDY 075,HOOVER,Single,Freestanding,850,393,2.5
DDY 085G,HOOVER,Single,Freestanding,850,417,2.5
DDY 085GX,HOOVER,Single,Freestanding,850,417,2.5
DDY 088T,HOOVER,Single,Freestanding,850,417,2.5
DDY 088TX,HOOVER,Single,Freestanding,850,417,2.5
DDY 090X,HOOVER,Single,Freestanding,850,417,2.5
DDY 095T,HOOVER,Single,Freestanding,850,417,2.5
DDY 095TX,HOOVER,Single,Freestanding,850,417,2.5
HED 6612,HOOVER,Single,Freestanding,850,396,2
