Model No,Brand,Control,Prog Name,Type,New CEC,New Star
IVDBI/1,Ilve,Single,Built-in,815,270,3.5
IVDFI/1,Ilve,Single,Built-in,815,270,3.5
IVDFI645/D,Ilve,Single,On Bench,438,191,2
IVDFI645/ND,Ilve,Single,On Bench,438,191,2
IVDFS645,Ilve,Single,On Bench,438,191,2
IVDFSD60,Ilve,Dual,Freestanding,815,264,3.5
IVDSI/1,Ilve,Single,Built-in,815,270,3.5
IVFSD60*,Ilve,Single,Freestanding,817,264,3.5
WQP12-9346A,Ilve,Single,Built-in,870,269,3
WQP12-9378Y,Ilve,Single,Built-in,870,269,3
WQP8-9274AY,Ilve,Single,Built-in,870,294,1.5
WQP8-J9377Y,Ilve,Single,Built-in,870,294,1.5
