Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LD-1420B2,LG,Single,Freestanding,,324,3
LD-1420T2,LG,Single,Freestanding,,324,3
LD-1420W2,LG,Single,Freestanding,,324,3
LD-1421B2,LG,Single,Freestanding,,324,3
LD-1421L2,LG,Single,Freestanding,,324,3
LD-1421M2,LG,Single,Freestanding,,324,3
LD-1421T2,LG,Single,Freestanding,,324,3
LD-1421W2,LG,Single,Freestanding,,324,3
LD-1481S4,LG,Single,Freestanding,850,230,4
LD-1481W4,LG,Single,Freestanding,850,230,4
LD-1482S4,LG,Single,Freestanding,850,230,4
LD-1482T4,LG,Single,Freestanding,850,230,4
LD-1482W4,LG,Single,Freestanding,850,230,4
LD-1483S4,LG,Single,Freestanding,850,230,4
LD-1483T4,LG,Single,Freestanding,850,230,4
LD-1483W4,LG,Single,Freestanding,850,230,4
LD-1484S4,LG,Single,Freestanding,850,230,4
LD-1484T4,LG,Single,Freestanding,850,230,4
LD-1484W4,LG,Single,Freestanding,850,230,4
LD-1485S4,LG,Single,Freestanding,850,230,4
LD-1485T4,LG,Single,Freestanding,850,230,4
LD-1485W4,LG,Single,Freestanding,850,230,4
LD1452BFEN2,LG,Single,Freestanding,850,274,3.5
LD1452CFEN2,LG,Single,Freestanding,850,274,3.5
LD1452CFEN3,LG,Single,Freestanding,850,274,3.5
LD1452LFEN2,LG,Single,Freestanding,850,274,3.5
LD1452LFEN3,LG,Single,Freestanding,850,274,3.5
LD1452MFEN2,LG,Single,Freestanding,850,274,3.5
LD1452MFEN3,LG,Single,Freestanding,850,274,3.5
LD1452TFEN2,LG,Single,Freestanding,850,274,3.5
LD1452TFEN3,LG,Single,Freestanding,850,274,3.5
LD1452WFEN2,LG,Single,Freestanding,850,274,3.5
LD1452WFEN3,LG,Single,Freestanding,850,274,3.5
LD1453BFEN2,LG,Single,Freestanding,850,273,3.5
LD1453CFEN2,LG,Single,Freestanding,850,273,3.5
LD1453LFEN2,LG,Single,Freestanding,850,273,3.5
LD1453MFEN2,LG,Single,Freestanding,850,273,3.5
LD1453TFEN2,LG,Single,Freestanding,850,273,3.5
LD1454BFES2,LG,Single,Freestanding,850,273,3.5
LD1454CFES2,LG,Single,Freestanding,850,273,3.5
LD1454LFES2,LG,Single,Freestanding,850,273,3.5
LD1454MFES2,LG,Single,Freestanding,850,273,3.5
LD1454TFES2,LG,Single,Freestanding,850,273,3.5
LD1455BFCS2,LG,Single,Freestanding,850,273,3.5
LD1455CFCS2,LG,Single,Freestanding,850,273,3.5
LD1455LFCS2,LG,Single,Freestanding,850,273,3.5
LD1455MFCS2,LG,Single,Freestanding,850,273,3.5
LD1455TFCS2,LG,Single,Freestanding,850,273,3.5
