Model No,Brand,Control,Prog Name,Type,New CEC,New Star
G 4101,MIELE,Single,Built-in,805,324,3
G 4101i,MIELE,Single,Built-in,805,324,3
G 4101U,MIELE,Single,Built-in,805,324,3
G 4222,MIELE,Single,Built-in,845,324,3
G 4222 i,MIELE,Single,Built-in,845,324,3
G 4222 U,MIELE,Single,Built-in,845,324,3
G 4292 Vi,MIELE,Single,Built-in,845,324,3
G 4570 SCVi,MIELE,Single,Built-in,805,231,3
G 4570 SCVi,MIELE,Single,Built-in,805,231,3
G 4920,MIELE,Single,Built-in,805,274,3.5
G 4920 i,MIELE,Single,Built-in,805,274,3.5
G 4920 SC,MIELE,Single,Built-in,805,274,3.5
G 4920 SCi,MIELE,Single,Built-in,805,274,3.5
G 4920 SCU,MIELE,Single,Built-in,805,274,3.5
G 4920 U,MIELE,Single,Built-in,805,274,3.5
G 4960 SCVi,MIELE,Single,Built-in,805,274,3.5
G 4960 Vi,MIELE,Single,Built-in,805,274,3.5
G 5100,MIELE,Single,Built-in,805,324,3
G 5100,MIELE,Single,Built-in,805,324,3
G 5100 i,MIELE,Single,Built-in,805,324,3
G 5100 i,MIELE,Single,Built-in,805,324,3
G 5100 U,MIELE,Single,Built-in,805,324,3
G 5100 U,MIELE,Single,Built-in,805,324,3
G 5141,MIELE,Single,Built-in,,261,3.5
G 5141 i,MIELE,Single,Built-in,,261,3.5
G 5141 U,MIELE,Single,Built-in,,261,3.5
G 5170 Vi,MIELE,Single,Built-in,805,324,3
G 5170 Vi,MIELE,Single,Built-in,805,324,3
G 5191 Vi,MIELE,Single,Built-in,,261,3.5
G 5300 SC,MIELE,Single,Built-in,805,265,3.5
G 5300 SCi,MIELE,Single,Built-in,805,265,3.5
G 5370 SCVi,MIELE,Single,Built-in,805,265,3.5
G 5500 SCU,MIELE,Single,Built-in,805,265,3.5
G 5500SCi,MIELE,Single,Built-in,805,265,3.5
G 5570 SCVi,MIELE,Single,Built-in,805,265,3.5
G 5715 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5715 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5715 SCU XXL,MIELE,Single,Built-in,845,288,3.5
G 5715 SCU XXL,MIELE,Single,Built-in,845,288,3.5
G 5775 SCVi XXL,MIELE,Single,Built-in,845,288,3.5
G 5775 SCVi XXL,MIELE,Single,Built-in,845,288,3.5
G 5815 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5815 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5935 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5935 SCi XXL,MIELE,Single,Built-in,845,288,3.5
G 5985 SCVi XXL,MIELE,Single,Built-in,845,288,3.5
G 5985 SCVi XXL,MIELE,Single,Built-in,845,288,3.5
G 6100 SC,MIELE,Single,Built-in,,274,3.5
G 6100 SCi,MIELE,Single,Built-in,,274,3.5
G 6100 SCU,MIELE,Single,Built-in,,274,3.5
G 6160 SCVi,MIELE,Single,Built-in,,274,3.5
G 6300 SC,MIELE,Single,Built-in,,274,3.5
G 6300 SCU,MIELE,Single,Built-in,,274,3.5
G 6305 SCi XXL,MIELE,Single,Built-in,,282,3.5
G 6305 SCU XXL,MIELE,Single,Built-in,,282,3.5
G 6365 SCVi XXL,MIELE,Single,Built-in,,282,3.5
G 6515 SCi XXL,MIELE,Single,Built-in,,282,3.5
G 6587 SCVi XXL,MIELE,Single,Built-in,,282,3.5
G 6905 SCi XXL,MIELE,Single,Built-in,,282,3.5
G 6995 SCVi XXL,MIELE,Single,Built-in,,282,3.5
G4220,MIELE,Single,Built-in,,324,3
G4220i,MIELE,Single,Built-in,,324,3
G4220U,MIELE,Single,Built-in,,324,3
G4420SC,MIELE,Single,Built-in,,265,3.5
G4420SCi,MIELE,Single,Built-in,,265,3.5
G4481SCVi,MIELE,Single,Built-in,,265,3.5
G4700 SCi,MIELE,Single,Built-in,,225,3
G5220SCi,MIELE,Single,Built-in,,265,3.5
G5220SCU,MIELE,Single,Built-in,,265,3.5
G5500SC,MIELE,Single,Built-in,,265,3.5
PG 8081i,MIELE,Single,Built-in,,382,2.5
PG 8082 SCi XXL,MIELE,Single,Built-in,,386,2.5
PG 8083 SCVi XXL,MIELE,Single,Built-in,,386,2.5
