Model No,Brand,Control,Prog Name,Type,New CEC,New Star
S21N53N1EU,NEFF,Single,Built-in,,381,2
S21N53N7EU,NEFF,Single,Built-in,,349,2.5
S41M53N4EU ,NEFF,Single,Built-in,865,405,2
S41M53N8EU,NEFF,Single,Built-in,865,405,2
S41N53N1EU,NEFF,Single,Built-in,,381,2
S41N53N4EU,NEFF,Single,Built-in,,349,2.5
S51M53X4EU ,NEFF,Single,Built-in,865,405,2
S51M53X6EU,NEFF,Single,Built-in,865,405,2
S51N53X0EU,NEFF,Single,Built-in,,381,2
S51N53X4EU,NEFF,Single,Built-in,,349,2.5
S52M53X4EU,NEFF,Single,Built-in,865,405,2
S52M53X6EU ,NEFF,Single,Built-in,865,405,2
S52N63X0EU,NEFF,Single,Built-in,,401,2
S52N69X5EU,NEFF,Single,Built-in,,388,2
