Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DW2112WP,OMEGA,Single,Freestanding,850,339,2
DW300XA,Omega,Single,Freestanding,,294,1.5
ODW204X,Omega,Single,Freestanding,850,264,3.5
ODW506WB,OMEGA,Single,Freestanding,,327,2.5
ODW506XB,OMEGA,Single,Freestanding,,327,2.5
ODW507TWB,OMEGA,Single,Freestanding,,327,2.5
ODW507TXB,OMEGA,Single,Freestanding,,327,2.5
ODW517WB,Omega,Single,Freestanding,,329,3
ODW517XB,Omega,Single,Freestanding,,329,3
ODW702WB,OMEGA,Single,Freestanding,,327,2.5
ODW702XB,OMEGA,Single,Freestanding,,327,2.5
ODW704WB,OMEGA,Single,Freestanding,,264,3.5
ODW704XB,OMEGA,Single,Freestanding,,264,3.5
ODW707WB,OMEGA,Single,Freestanding,,264,3.5
ODW707XB,OMEGA,Single,Freestanding,,264,3.5
ODW717WB,Omega,Dual,Freestanding,,329,3
ODW717XB,Omega,Dual,Freestanding,,329,3
OFI101XA,Omega,Single,On Bench,,191,2
OFI604A,Omega,Single,Built-in,,320,3
PL403A,Omega,Dual,Freestanding,,320,3
SI2112P,OMEGA,Single,Freestanding,850,339,2
VDW2,Omega,Single,Freestanding,600,311,2.5
