Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PD6-PI,PARMCO,Single,Freestanding,,379,2
PD6-PIT,PARMCO,Single,Built-in,820,329,3
PD6-PSDF,PARMCO,Dual,Freestanding,,277,3
PD6-PSE,PARMCO,Single,Freestanding,,340,2
PD6-PSF,PARMCO,Single,Freestanding,,319,2.5
PD6-PWDF,PARMCO,Dual,Freestanding,,277,3
PD6-PWE,PARMCO,Single,Freestanding,,340,2
PD6-PWF,PARMCO,Single,Freestanding,,319,2.5
TD6S-F1,PARMCO,Single,Freestanding,,448,2
TD6W-F1,PARMCO,Single,Freestanding,,448,2
TD6W-F1,PARMCO,Single,Freestanding,,448,2
