Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DMS400THX,SAMSUNG ELECTRONICS,Single,Built-in,,248,3.5
DMS500TRS,SAMSUNG ELECTRONICS,Single,Freestanding,,248,3.5
DMS500TRW,SAMSUNG ELECTRONICS,Single,Freestanding,,248,3.5
DW-FG520L,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG520L,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG520S,SAMSUNG ELECTRONICS,Single,Freestanding,,255,3.5
DW-FG520S,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG520S,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG520W,SAMSUNG ELECTRONICS,Single,Freestanding,,255,3.5
DW-FG520W,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG520W,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW-FG720S,SAMSUNG ELECTRONICS,Single,Freestanding,,270,3.5
DW-FG720W,SAMSUNG ELECTRONICS,Single,Freestanding,,270,3.5
DW-FG725L,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-FG725L,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-FG725S,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-FG725S,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-FG725W,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-FG725W,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW-UG720T,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW5343TGBSL,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW5343TGBWQ,SAMSUNG ELECTRONICS,Single,Freestanding,845,255,3.5
DW5363PGBSL,SAMSUNG ELECTRONICS,Single,Freestanding,845,244,4
DW60H6050FS,SAMSUNG ELECTRONICS,Single,Freestanding,845,270,3.5
DW60H6050FW,SAMSUNG ELECTRONICS,Single,Freestanding,845,270,3.5
DW60H9950FS,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60H9950FW,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60H9950US,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60H9970FS,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60H9970US,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60J9960US,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
DW60J9970BB,SAMSUNG ELECTRONICS,Single,Freestanding,845,293,3.5
