Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SC76M530AU,SIEMENS,Single,Built-in,,180,3
SE56T590AU,Siemens,Single,Built-in,,225,4
SE66T372AU,Siemens,Single,Built-in,,225,4
SK76M530AU,SIEMENS,Single,Built-in,,135,3
SN26E281AU,SIEMENS,Single,Built-in,,245,4
SN26M230AU,SIEMENS,Single,Freestanding,,225,4
SN26M231AU,SIEMENS,Single,Built-in,,220,4
SN26M281AU,SIEMENS,Single,Freestanding,,245,4
SN26M282AU,SIEMENS,Dual,Built-in,,235,4
SN26M292AU,SIEMENS,Single,Built-in,,245,4
SN26M830AU,SIEMENS,Single,Freestanding,,225,4
SN26M831AU,SIEMENS,Single,Built-in,,220,4
SN26M881AU,SIEMENS,Single,Freestanding,,245,4
SN26M882AU,SIEMENS,Dual,Built-in,,235,4
SN26M891AU,SIEMENS,Single,Built-in,,245,4
SN26M892AU,SIEMENS,Single,Built-in,,245,4
SN46E581AU,SIEMENS,Single,Built-in,,245,4
SN46M080AU,SIEMENS,Dual,Built-in,,235,4
SN46M582AU,SIEMENS,Single,Built-in,,245,4
SN46M583AU,SIEMENS,Dual,Built-in,,235,4
SN46M591AU,SIEMENS,Single,Built-in,,245,4
SN46M592AU,SIEMENS,Single,Built-in,,245,4
SN46T591AU,SIEMENS,Single,Built-in,,245,4
SN46V590AU,SIEMENS,Single,Built-in,,245,4
SN46V593AU,SIEMENS,Single,Built-in,,206,4.5
SN478S03TA,SIEMENS,Single,Built-in,,205,4.5
SN56M530AU,SIEMENS,Single,Freestanding,,225,4
SN56M531AU,SIEMENS,Single,Built-in,,220,4
SN56M532AU,SIEMENS,Single,Built-in,,225,4
SN56M582AU,SIEMENS,Dual,Built-in,,235,4
SN56M592AU,SIEMENS,Single,Built-in,,245,4
SN56M593AU,SIEMENS,Single,Built-in,,206,4.5
SN66M080AU,SIEMENS,Dual,Built-in,,235,4
SN66T092AU,SIEMENS,Single,Built-in,,245,4
SN66T093AU,SIEMENS,Single,Built-in,,206,4.5
SX56T593AU,SIEMENS,Single,Built-in,,206,4.5
SX578S02TA,SIEMENS,Single,Built-in,,205,4.5
SX66T091AU,SIEMENS,Single,Built-in,,245,4
SX66T093AU,SIEMENS,Single,Built-in,,206,4.5
SX678X01TA,SIEMENS,Single,Built-in,,205,4.5
