Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BLV1AZ (Pastel Blue),SMEG,Single,Freestanding,885,333,2.5
BLV1NE (Black),SMEG,Single,Freestanding,885,333,2.5
BLV1O (Orange),SMEG,Single,Freestanding,885,333,2.5
BLV1R (Red),SMEG,Single,Freestanding,885,333,2.5
BLV1VE (Lime Green),SMEG,Single,Freestanding,885,333,2.5
BLV1X (Silver),SMEG,Single,Freestanding,885,333,2.5
BLVIRO (Rose),SMEG,Single,Freestanding,885,333,2.5
DWA**315**,Smeg,Single,Built-in,820,243,4
DWA147*,Smeg,Single,Freestanding,850,264,3.5
DWA147*,Smeg,Single,Freestanding,850,264,3.5
DWA149*,Smeg,Single,Freestanding,850,264,3.5
DWA149*,Smeg,Single,Freestanding,850,264,3.5
DWA157*,Smeg,Single,Freestanding,850,245,4
DWA214*,Smeg,Single,Freestanding,850,267,3.5
DWA314*D,Smeg,Single,Built-in,820,242,3.5
DWA314*D1,Smeg,Single,Built-in,820,243,3.5
DWA3148*,Smeg,Single,Freestanding,850,240,3.5
DWA314B,Smeg,Single,Built-in,820,243,3.5
DWA314S,Smeg,Single,Built-in,820,243,3.5
DWA314W,Smeg,Single,Built-in,820,243,3.5
DWA314X,Smeg,Single,Built-in,820,243,3.5
DWA4510* / DWAFI4510,Smeg,Single,Freestanding,820,226,3
DWAFI149,Smeg,Single,Freestanding,850,264,3.5
DWAFI149,Smeg,Single,Freestanding,850,264,3.5
DWAFI152T,Smeg,Single,Freestanding,850,245,4
DWAFI314S,Smeg,Single,Built-in,820,243,3.5
DWAFIP364*,Smeg,Single,Built-in,820,240,4
DWAI149*,Smeg,Single,Freestanding,850,264,3.5
DWAI149*,Smeg,Single,Freestanding,850,264,3.5
DWAI152*T,Smeg,Single,Freestanding,850,245,4
DWAI214*,Smeg,Single,Freestanding,850,267,3.5
DWAI314X,Smeg,Single,Built-in,820,243,3.5
DWAU147*,Smeg,Single,Freestanding,850,264,3.5
