Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DWQP12 -9235B,TRIESTE,Single,Freestanding,850,319,2.5
TRD-IWQP12-9348E,TRIESTE,Single,Freestanding,,379,2
TRD-IWQP8-9347E,TRIESTE,Dual,Built-in,,294,1.5
TRD-WQP12-9240F,TRIESTE,Dual,Freestanding,850,278,3
TRD-WQP12-9240H,TRIESTE,Single,Freestanding,850,319,2.5
TRD-WQP12-9240H S/S,TRIESTE,Single,Freestanding,850,319,2.5
TRD-WQP12-9240H WH,TRIESTE,Single,Freestanding,850,319,2.5
TRD-WQP8-9001 S,TRIESTE,Dual,Freestanding,850,330,1
TRD-WQP8-9001 SS,TRIESTE,Dual,Freestanding,850,330,1
TRD-WQP8-9001 W,TRIESTE,Dual,Freestanding,850,330,1
TRD-WQP8-9239H,TRIESTE,Dual,Freestanding,850,330,1
TRD-WQP8-9239H S/S,TRIESTE,Dual,Freestanding,850,330,1
TRD-WQP8-9239H WH,TRIESTE,Dual,Freestanding,850,330,1
Trieste DL06-07,TRIESTE,Single,Freestanding,850,340,2
Trieste-WQP8-9001,TRIESTE,Dual,Freestanding,850,330,1
WQP12 - 9235B,TRIESTE,Single,Freestanding,850,319,2.5
WQP8-9325,TRIESTE,Dual,Built-in,,294,1.5
WQP8-9347E,TRIESTE,Dual,Built-in,,294,1.5
