Model No,Brand,Control,Prog Name,Type,New CEC,New Star
168,V-ZUG,Single,Built-in,80,209,4
170,V-ZUG,Single,Built-in,80,209,4
228,V-ZUG,Single,Built-in,80,209,4
229,V-ZUG,Single,Built-in,80,209,4
233,V-ZUG,Single,Built-in,80,209,4
239,V-ZUG,Single,Built-in,80,209,4
259,V-ZUG,Single,Built-in,80,209,4
261,V-ZUG,Single,Built-in,80,209,4
41006,V-ZUG,Single,Built-in,,181,4.5
41008,V-ZUG,Single,Built-in,,181,4.5
41009,V-ZUG,Single,Built-in,890,111,6
41010,V-ZUG,Single,Built-in,,210,4
41011,V-ZUG,Single,Built-in,,210,4
41030,V-ZUG,Single,Built-in,,210,4
41036,V-ZUG,Single,Built-in,,210,4
41038,V-ZUG,Single,Built-in,890,111,6
41042,V-ZUG,Single,Built-in,900,185,4.5
