Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WSF6602WR/XR,WESTINGHOUSE,Single,Built-in,818,272,3
WSF6605WR,Westinghouse,Single,Freestanding,820,273,3
WSF6605XR,Westinghouse,Single,Freestanding,820,273,3
WSF6606W,Westinghouse,Single,Freestanding,845,352,3
WSF6606WA,Westinghouse,Single,Freestanding,845,352,3
WSF6606X,Westinghouse,Single,Freestanding,845,352,3
WSF6606XA,Westinghouse,Single,Freestanding,845,352,3
WSF6608W,Westinghouse,Single,Freestanding,845,352,3
WSF6608WA,Westinghouse,Single,Freestanding,845,352,3
WSF6608X,Westinghouse,Single,Freestanding,845,352,3
WSF6608XA,Westinghouse,Single,Freestanding,845,352,3
WSU6603XR,WESTINGHOUSE,Single,Built-in,818,272,3
