Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ADP5000GE,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP5000IX,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP5000MT,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP5000WH,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP8000GE,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP8000IX,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP8000MT,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP8000WH,WHIRLPOOL,Single,Freestanding,850,330,2.5
ADP9000GE,WHIRLPOOL,Single,Freestanding,850,275,3.5
ADP9000IX,WHIRLPOOL,Single,Freestanding,850,275,3.5
ADP9000MT,WHIRLPOOL,Single,Freestanding,850,275,3.5
ADP9000WH,WHIRLPOOL,Single,Freestanding,850,275,3.5
ADP9070IX,WHIRLPOOL,Single,Freestanding,,324,2.5
ADP9200IX ,WHIRLPOOL,Single,Freestanding,,329,3
