Model No,Brand,Control,Prog Name,Type,New CEC,New Star
L45W,Tisira,Single,Freestanding,,244,2
L45X,Tisira,Single,Freestanding,,244,2
TDW-1S,Tisira,Single,Freestanding,,336,2.5
TDW-1W,Tisira,Single,Freestanding,,336,2.5
TDW12X,Tisira,Single,Freestanding,845,274,3
TDW14I,Tisira,Single,Freestanding,850,310,3
TDW14W,Tisira,Single,Freestanding,850,310,3
TDW14X,Tisira,Single,Freestanding,850,310,3
TDW6SS,Tisira,Single,Built-in,475,191,2
TDWC12W ,tisira,Single,Freestanding,850,278,3
TDWC12X,tisira,Single,Freestanding,850,278,3
