Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GY-NE100RF,ACQUA,,Upright,Refrigerator,234,1.5
GY-NE144CF,ACQUA,823,Chest,Freezer,296,2.5
GY-NE144CF/01,ACQUA,825,Chest,Freezer,276,2.5
GY-NE144CF/01,ACQUA,830,Chest,Freezer,276,2.5
GY-NE144CF/02,ACQUA,825,Chest,Freezer,276,2.5
GY-NE175FR,ACQUA,,Upright,Freezer,310,2.5
GY-NE19CF,ACQUA,816,Chest,Freezer,256,3
GY-NE200CF,ACQUA,830,Chest,Freezer,322,2.5
GY-NE250RF,ACQUA,1440,Upright,Refrigerator,275,2
GY-NE250RF,ACQUA,,Upright,Refrigerator,275,2
GY-NE255FR,ACQUA,1762.5,Upright,Freezer,431,2
GY-NE26CF,ACQUA,822,Chest,Freezer,300,3
GY-NE270FR,ACQUA,,Upright,Freezer,535,1
GY-NE270FR/01,ACQUA,1752,Upright,Freezer,390,2
GY-NE270FR/01,ACQUA,1752,Upright,Freezer,431,2
GY-NE270FR/02,ACQUA,1762,Upright,Freezer,431,2
GY-NE270FR/02,Acqua,1762.5,Upright,Freezer,431,2
GY-NE275FRS,Acqua,1752.5,Upright,Freezer,431,2
GY-NE300CF,ACQUA,850,Chest,Freezer,400,2.5
GY-NE306CF,ACQUA,817,Chest,Freezer,410,2.5
GY-NE31FRS,ACQUA,1746,Upright,Freezer,353,3
GY-NE31FRW,ACQUA,1746,Upright,Freezer,353,3
GY-NE350RF,ACQUA,1752,Upright,Cooled appliance,387,1
GY-NE350RF/01,ACQUA,1752,Upright,Cooled appliance,346,1.5
GY-NE350RF/01,ACQUA,1752,Upright,Cooled appliance,346,1.5
GY-NE350RF/02,ACQUA,1767,Upright,Refrigerator,310,2
GY-NE350RF/02,Acqua,1767.5,Upright,Refrigerator,310,2
GY-NE355RF,ACQUA,1752.5,Upright,Refrigerator,346,1.5
GY-NE355RFS,Acqua,1752.5,Upright,Refrigerator,346,1.5
GY-NE40CF,ACQUA,842,Chest,Freezer,365,3
GY-NE415CF,ACQUA,865,Chest,Freezer,495,2
GY-NE42RFS,ACQUA,1746,Upright,Refrigerator,238,3
GY-NE42RFW,ACQUA,1746,Upright,Refrigerator,238,3
GY-NE50RF,ACQUA,,Upright,Refrigerator,248,1
GY-NE50RF,Acqua,,Upright,Refrigerator,248,1
GY-NE80FR,ACQUA,,Upright,Freezer,254,2
GY-NE80FR,Acqua,,Upright,Freezer,254,2
