Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS2626*****,AMANA,,Side by Side,Refrigerator/Freezer,772,1.5
AS2626GEKB/W;  AS2626GEKBS,AMANA,,Side by Side,Refrigerator/Freezer,772,1.5
AS2628*****,AMANA,,Side by Side,Refrigerator/Freezer,772,1.5
AS2628GEKW/B/S,AMANA,,Side by Side,Refrigerator/Freezer,772,1.5
ATX518V,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
ATX518VE,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
ATX518VEG,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
ATX518VW,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
ATX518VW,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
ATX518VWG,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
BRF520T,AMANA,1777,Upright,Refrigerator/Freezer,940,0
BRF520T1,AMANA,1777,Upright,Refrigerator/Freezer,940,0
BX518V,AMANA,1684,Upright,Refrigerator/Freezer,670,0
BX518VE,AMANA,1684,Upright,Refrigerator/Freezer,670,0
BX518VW,AMANA,1684,Upright,Refrigerator/Freezer,670,0
BX521VE / BX521VW,AMANA,,Upright,Refrigerator/Freezer,695,0
GS2127CADB/W,AMANA,1710,Side by Side,Refrigerator/Freezer,872,0
GS2127PADB/W,AMANA,1710,Side by Side,Refrigerator/Freezer,872,0
GS2325GE***,AMANA,,Side by Side,Refrigerator/Freezer,730,1.5
GZ2727GEHB/W,AMANA,1790,Side by Side,Refrigerator/Freezer,1000,0
MZ2727GEHB/W,AMANA,1790,Side by Side,Refrigerator/Freezer,1000,0
SBD522VE,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SBDE522VE,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SBDE522VW,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SRD/SBD/SBDE522V,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SRD/SBD/SBDE522V,AMANA,1740,Side by Side,Refrigerator/Freezer,898,0
SRD522VE,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SRD522VW,AMANA,1750,Upright,Refrigerator/Freezer,898,0
SRD528VE,AMANA,1750,Upright,Refrigerator/Freezer,987,0
SRD528VW,AMANA,1750,Upright,Refrigerator/Freezer,987,0
SRDE522VE / SRDE522VW,AMANA,1740,Side by Side,Refrigerator/Freezer,898,0
SRDE528V,AMANA,1750,Upright,Refrigerator/Freezer,987,0
SRDE528VW,AMANA,1750,Upright,Refrigerator/Freezer,987,0
SX522V,AMANA,1760,Upright,Refrigerator/Freezer,903,0
SX522VE & SX522VW,AMANA,1760,Upright,Refrigerator/Freezer,903,0
SXD524V,AMANA,1760,Upright,Refrigerator/Freezer,933,0
SXD524VW,AMANA,1760,Upright,Refrigerator/Freezer,933,0
TR521V,AMANA,1710,Upright,Refrigerator/Freezer,1050,0
TR521VE,AMANA,1710,Upright,Refrigerator/Freezer,1050,0
TR521VW,AMANA,1710,Upright,Refrigerator/Freezer,1050,0
TX518VE,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
TX518VW,AMANA,1672,Upright,Refrigerator/Freezer,1012,0
X Series,AMANA,,Side by Side,Refrigerator/Freezer,745,0
X Series,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
X Series,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
X Series,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRBR206BW & XRBR206BB,AMANA,,Upright,Refrigerator/Freezer,606,0
XRBR904BB,AMANA,,Upright,Refrigerator/Freezer,552,0
XRBR904BW,AMANA,,Upright,Refrigerator/Freezer,552,0
XRBS017BB,AMANA,,Upright,Refrigerator/Freezer,614,0
XRBS017BW,AMANA,,Upright,Refrigerator/Freezer,614,0
XRSR665BB,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSR665BW,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSR687BB,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSR687BW,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSS204BB,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS204BBSP,AMANA,1775,Side by Side,Refrigerator/Freezer,756,0
XRSS204BW,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS264BB/W,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS267BB/W,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS287BB/W,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS287BBSP,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS287BW,AMANA,1775,Side by Side,Refrigerator/Freezer,835,0
XRSS465BB & XRSR465BW,AMANA,,Side by Side,Refrigerator/Freezer,745,0
XRSS665BB,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSS665BW,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSS687BB,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSS687BBSP,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
XRSS687BW,AMANA,1775,Side by Side,Refrigerator/Freezer,819,0
