Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AF1-100,Amber,867,Upright,Freezer,265,2
AF1-100,Amber,867,Upright,Freezer,202,3
AF1-225,Amber,1405,Upright,Freezer,280,3
AL1-306,Amber,1405,Upright,Refrigerator,270,2
AR1-115,Amber,845,Upright,Refrigerator,245,1.5
AR1-115,Amber,845,Upright,Freezer,245,1.5
AR1-150,Amber,842,Upright,Refrigerator,260,1.5
AR1-150,Amber,842,Upright,Refrigerator,200,2.5
TF-10A,Amber,867,Upright,Freezer,265,2
TF-10A,Amber,867,Upright,Freezer,202,3
TF-10Q,Amber,867,Upright,Freezer,265,2
TF-10Q,Amber,867,Upright,Freezer,202,3
TF-22A,Amber,1405,Upright,Freezer,280,3
TR-11A,Amber,845,Upright,Refrigerator,245,1.5
TR-11A,Amber,845,Upright,Freezer,245,1.5
TR-15A,Amber,842,Upright,Refrigerator,260,1.5
TR-15A,Amber,842,Upright,Refrigerator,200,2.5
TR-15Q,Amber,842,Upright,Refrigerator,260,1.5
TR-15Q,Amber,842,Upright,Refrigerator,200,2.5
TR1-11Q,Amber,845,Upright,Freezer,245,1.5
