Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ACF300W1,Aspira,845,Chest,Freezer,425,2.5
ARZ100S1,Aspira,833,Upright,Refrigerator,295,1
ARZ200TS1,Aspira,1430,Upright,Refrigerator/Freezer,370,2
BRF-204SS,Aspira,1505,Upright,Refrigerator/Freezer,390,2
BRF-204WH,Aspira,1505,Upright,Refrigerator/Freezer,390,2
CF100,Aspira,,Chest,Freezer,190,3.5
CF150,Aspira,,Chest,Freezer,225,3.5
CF200,Aspira,,Chest,Freezer,260,3.5
TWLBRF-204,Aspira,1505,Upright,Refrigerator/Freezer,390,2
TWLFZ-170,Aspira,1430,Upright,Freezer,365,2
TWLFZ-80,Aspira,840,Upright,Freezer,233,2.5
TWLRZ-100,Aspira,833,Upright,Refrigerator,295,1
TWLRZ-238,Aspira,1430,Upright,Refrigerator,351,1
TWLRZ-38,Aspira,510,Upright,Refrigerator,249,1
TWLRZ-58,Aspira,510,Upright,Refrigerator,234,1.5
TWLTRF-200,Aspira,1430,Upright,Refrigerator/Freezer,370,2
