Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BF315,BAUMATIC,1552,Upright,Refrigerator/Freezer,830,0
BF360,BAUMATIC,1700,Upright,Refrigerator/Freezer,767,0
BF457,BAUMATIC,1663,Upright,Refrigerator/Freezer,894,0
BKF150SS,BAUMATIC,725,Upright,Refrigerator,313,1
BKF150W,BAUMATIC,725,Upright,Refrigerator,313,1
BKL150SS,BAUMATIC,725,Upright,Refrigerator,299,1
BKL150W,BAUMATIC,725,Upright,Refrigerator,299,1
BKMG6,BAUMATIC,1522,Upright,Refrigerator/Freezer,355,2
BKMIR6,BAUMATIC,1522,Upright,Refrigerator/Freezer,355,2
BKSB6,BAUMATIC,1522,Upright,Refrigerator/Freezer,355,2
BKTG6,BAUMATIC,1522,Upright,Refrigerator/Freezer,355,2
BKZ110SS,BAUMATIC,850,Upright,Freezer,248,2
BKZ110W,BAUMATIC,850,Upright,Freezer,248,2
BL150,BAUMATIC,725,Upright,Cooled appliance,299,1
BSBS550,Baumatic,1770,Side by Side,Refrigerator/Freezer,645,2
BSBS550S,Baumatic,1770,Side by Side,Refrigerator/Freezer,645,2
CLFRSS,BAUMATIC,725,Upright,Refrigerator,313,1
CLFRW,BAUMATIC,725,Upright,Refrigerator,313,1
