Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CH124020W,BEKO,,Upright,Refrigerator/Freezer,363,2.5
CN151120,BEKO,1720,Upright,Refrigerator/Freezer,515,2.5
CN151120X,BEKO,1720,Upright,Refrigerator/Freezer,515,2.5
CN228130,BEKO,1792,Upright,Refrigerator/Freezer,360,3
CN228130S,BEKO,1792,Upright,Refrigerator/Freezer,360,3
CN228130T,BEKO,1792,Upright,Refrigerator/Freezer,360,3
CN228130X,BEKO,1792,Upright,Refrigerator/Freezer,360,3
DN 133020,BEKO,1750,Upright,Refrigerator/Freezer,469,2
DN 133020 X,BEKO,1750,Upright,Refrigerator/Freezer,469,2
DN 143120,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN 143120 X,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN135120,BEKO,1720,Upright,Refrigerator/Freezer,425,2.5
DN135120S,BEKO,1720,Upright,Refrigerator/Freezer,425,2.5
DN135120T,BEKO,1720,Upright,Refrigerator/Freezer,425,2.5
DN135120X,BEKO,1720,Upright,Refrigerator/Freezer,425,2.5
DN143120,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN143120X,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN143129,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN143129,BEKO,1690,Upright,Refrigerator/Freezer,411,3
DN151120,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DN151120DS,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DN151120DT,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DN151120DW,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DN151120DX,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DN151120X,BEKO,1720,Upright,Refrigerator/Freezer,465,3
DNE 25020,BEKO,1580,Upright,Refrigerator/Freezer,414,2
DNE 25020 S,BEKO,1580,Upright,Refrigerator/Freezer,414,2
DNE25020,BEKO,1580,Upright,Refrigerator/Freezer,399,2
DNE25020S,BEKO,1580,Upright,Refrigerator/Freezer,399,2
FN 126420,BEKO,1710,Upright,Freezer,393,2.5
FN 126420 X,BEKO,1710,Upright,Freezer,393,2.5
FN130430,BEKO,1714,Upright,Freezer,360,3
FN130430S,BEKO,1714,Upright,Freezer,360,3
FN130430T,BEKO,1714,Upright,Freezer,360,3
FN130430X,BEKO,1714,Upright,Freezer,360,3
FNE1074,BEKO,,Upright,Freezer,280,2
GN162320X,BEKO,,Side by Side,Refrigerator/Freezer,537,3
GN163020*,BEKO,,Side by Side,Refrigerator/Freezer,543,3
GN163020W,BEKO,,Side by Side,Refrigerator/Freezer,543,3
GN163020X,BEKO,,Side by Side,Refrigerator/Freezer,543,3
GNE 134620 X,BEKO,1820,Upright,Refrigerator/Freezer,650,2
GNE 60020X,BEKO,,Upright,Refrigerator/Freezer,674,2
GNE 60520 DX,BEKO,1820,Upright,Refrigerator/Freezer,667,2
GNE V032 W,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNE V032 X,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNE V322 X,BEKO,1780,Side by Side,Refrigerator/Freezer,592,2.5
GNE134750X,BEKO,,Upright,Refrigerator/Freezer,740,2
GNEV032W,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNEV032X,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNEV039PX,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNEV039PX,BEKO,1780,Side by Side,Refrigerator/Freezer,596,2.5
GNEV322X,BEKO,1780,Side by Side,Refrigerator/Freezer,592,2.5
HS221520,BEKO,914,Chest,Freezer,312,2.5
HSA 20520,BEKO,860,Chest,Freezer,277,3
HSA 32520,BEKO,860,Chest,Freezer,350,3
SN142030,BEKO,1714,Upright,Refrigerator,240,3
SN142030S,BEKO,1714,Upright,Refrigerator,240,3
SN142030T,BEKO,1714,Upright,Refrigerator,240,3
SN142030X,BEKO,1714,Upright,Refrigerator,240,3
SS 137020,BEKO,1710,Upright,Refrigerator,233,3
SS 137020 X,BEKO,1710,Upright,Refrigerator,233,3
TS190320,BEKO,,Upright,Refrigerator,188,2.5
TSE 1283,BEKO,840,Upright,Refrigerator,232,2
TSE 1283 X,BEKO,840,Upright,Refrigerator,232,2
