Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KAD62V40AU,BOSCH,,Side by Side,Refrigerator/Freezer,690,2
KAD62V70AU,BOSCH,,Side by Side,Refrigerator/Freezer,690,2
KAD63A70AU,BOSCH,,Side by Side,Refrigerator/Freezer,630,2.5
KAKGU4001,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KAKGU4001,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KAKGU4004,BOSCH,,Upright,Refrigerator/Freezer,528,2
KAN56V10AU,BOSCH,1790,Side by Side,Refrigerator/Freezer,630,2
KAN56V40AU,BOSCH,1790,Side by Side,Refrigerator/Freezer,630,2
KAN58A*0AU,BOSCH,1790,Side by Side,Refrigerator/Freezer,750,1.5
KAN58A70AU,BOSCH,1790,Side by Side,Refrigerator/Freezer,760,1.5
KAN62V00AU,BOSCH,,Side by Side,Refrigerator/Freezer,608,2.5
KAN62V00AU,BOSCH,,Side by Side,Refrigerator/Freezer,608,2.5
KAN62V40AU,BOSCH,,Side by Side,Refrigerator/Freezer,608,2.5
KAN62V40AU,BOSCH,,Side by Side,Refrigerator/Freezer,608,2.5
KDN45X00AU,BOSCH,,Upright,Refrigerator/Freezer,396,3
KDN45X40AU,BOSCH,,Upright,Refrigerator/Freezer,396,3
KDN53AL30A,BOSCH,,Upright,Refrigerator/Freezer,424,3
KDN53VL30A,BOSCH,,Upright,Refrigerator/Freezer,383,3.5
KDN53VW30A,BOSCH,,Upright,Refrigerator/Freezer,383,3.5
KDN64VL20A,BOSCH,1772,Upright,Refrigerator/Freezer,520,2.5
KDN64VW20A,BOSCH,1772,Upright,Refrigerator/Freezer,520,2.5
KDW4000AU,BOSCH,,Upright,Cooled appliance,160,0
KFN91PJ10A,BOSCH,1773,Side by Side,Refrigerator/Freezer,730,2
KFN91PJ10A,BOSCH,1773,Upright,Refrigerator/Freezer,730,2
KFU5755,BOSCH,1810,Side by Side,Refrigerator/Freezer,1024,0
KGN46AI20A,BOSCH,,Upright,Refrigerator/Freezer,456,2.5
KGN53AI30A,BOSCH,,Upright,Refrigerator/Freezer,430,3
KGN53AW30A,BOSCH,,Upright,Refrigerator/Freezer,430,3
KGN53X00AU,BOSCH,,Upright,Refrigerator/Freezer,448,2.5
KGN53X70AU,BOSCH,,Upright,Refrigerator/Freezer,448,2.5
KGN53XI25A,BOSCH,,Upright,Refrigerator/Freezer,448,2.5
KGN53XW25A,BOSCH,,Upright,Refrigerator/Freezer,448,2.5
KGU40120IE,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU40120IE,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU40120IE,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU40121,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU40121,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU40121,BOSCH,1850,Upright,Refrigerator/Freezer,835,0
KGU6690,BOSCH,1790,Side by Side,Refrigerator/Freezer,912,0
KIN34P60AU,BOSCH,,Upright,Refrigerator/Freezer,330,3
KSU405206W,BOSCH,1830,Upright,Refrigerator/Freezer,637,0
KSU405216W,BOSCH,,Upright,Refrigerator/Freezer,501,2
KSU405906W,BOSCH,1830,Upright,Refrigerator/Freezer,637,0
KSU405916W,BOSCH,,Upright,Refrigerator/Freezer,501,2
KSU445206W,BOSCH,1850,Upright,Refrigerator/Freezer,654,0
KSU445906W,BOSCH,1850,Upright,Refrigerator/Freezer,654,0
KSU45621AU,BOSCH,,Upright,Refrigerator/Freezer,500,2
KSU49621AU,BOSCH,,Upright,Refrigerator/Freezer,480,2.5
